municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
1301001,7,AM,Carauari,Total,Total,Total,1505,266090.0
1301100,7,AM,Careiro,Total,Total,Total,2291,95428.0
1301159,7,AM,Careiro da Várzea,Total,Total,Total,1842,64705.0
1301209,7,AM,Coari,Total,Total,Total,2173,73094.0
1301308,7,AM,Codajás,Total,Total,Total,1130,69653.0
1301407,7,AM,Eirunepé,Total,Total,Total,1052,13470.0
1301506,7,AM,Envira,Total,Total,Total,1028,70561.0
1301605,7,AM,Fonte Boa,Total,Total,Total,881,917.0
1301654,7,AM,Guajará,Total,Total,Total,948,69580.0
1301704,7,AM,Humaitá,Total,Total,Total,768,88209.0
1301803,7,AM,Ipixuna,Total,Total,Total,1099,27309.0
1301852,7,AM,Iranduba,Total,Total,Total,1399,24300.0
1301902,7,AM,Itacoatiara,Total,Total,Total,2442,146628.0
1301951,7,AM,Itamarati,Total,Total,Total,913,6786.0
1302009,7,AM,Itapiranga,Total,Total,Total,226,11538.0
1302108,7,AM,Japurá,Total,Total,Total,302,3042.0
1302207,7,AM,Juruá,Total,Total,Total,836,2182.0
1302306,7,AM,Jutaí,Total,Total,Total,1100,6092.0
1302405,7,AM,Lábrea,Total,Total,Total,2461,346270.0
1302504,7,AM,Manacapuru,Total,Total,Total,2357,55465.0
1302553,7,AM,Manaquiri,Total,Total,Total,1281,39162.0
1302603,7,AM,Manaus,Total,Total,Total,1943,42006.0
1302702,7,AM,Manicoré,Total,Total,Total,2650,210857.0
1302801,7,AM,Maraã,Total,Total,Total,725,4186.0
1302900,7,AM,Maués,Total,Total,Total,1779,134043.0
1303007,7,AM,Nhamundá,Total,Total,Total,1316,53426.0
1303106,7,AM,Nova Olinda do Norte,Total,Total,Total,1392,45187.0
1303205,7,AM,Novo Airão,Total,Total,Total,241,7583.0
1303304,7,AM,Novo Aripuanã,Total,Total,Total,1006,124909.0
1303403,7,AM,Parintins,Total,Total,Total,2742,126998.0
1303502,7,AM,Pauini,Total,Total,Total,1410,29456.0
1303536,7,AM,Presidente Figueiredo,Total,Total,Total,1769,196920.0
1303569,7,AM,Rio Preto da Eva,Total,Total,Total,1004,73712.0
1303601,7,AM,Santa Isabel do Rio Negro,Total,Total,Total,1149,677.0
1303700,7,AM,Santo Antônio do Içá,Total,Total,Total,754,3461.0
1303809,7,AM,São Gabriel da Cachoeira,Total,Total,Total,3928,9826.0
1303908,7,AM,São Paulo de Olivença,Total,Total,Total,1052,2095.0
1303957,7,AM,São Sebastião do Uatumã,Total,Total,Total,408,29624.0
1304005,7,AM,Silves,Total,Total,Total,502,22478.0
1304062,7,AM,Tabatinga,Total,Total,Total,1889,3354.0
1304104,7,AM,Tapauá,Total,Total,Total,1089,29850.0
1304203,7,AM,Tefé,Total,Total,Total,1826,21291.0
1304237,7,AM,Tonantins,Total,Total,Total,367,3294.0
1304260,7,AM,Uarini,Total,Total,Total,803,22301.0
1304302,7,AM,Urucará,Total,Total,Total,609,56099.0
1304401,7,AM,Urucurituba,Total,Total,Total,531,39725.0
1400027,7,RR,Amajari,Total,Total,Total,1412,384045.0
1400050,7,RR,Alto Alegre,Total,Total,Total,1364,288480.0
1400100,7,RR,Boa Vista,Total,Total,Total,1295,171666.0
1400159,7,RR,Bonfim,Total,Total,Total,989,394361.0
1400175,7,RR,Cantá,Total,Total,Total,2309,296137.0
1400209,7,RR,Caracaraí,Total,Total,Total,1199,189405.0
1400233,7,RR,Caroebe,Total,Total,Total,941,152637.0
1400282,7,RR,Iracema,Total,Total,Total,701,116539.0
1400308,7,RR,Mucajaí,Total,Total,Total,1045,200145.0
1400407,7,RR,Normandia,Total,Total,Total,982,23852.0
1400456,7,RR,Pacaraima,Total,Total,Total,353,19543.0
1400472,7,RR,Rorainópolis,Total,Total,Total,1919,208598.0
1400506,7,RR,São João da Baliza,Total,Total,Total,514,89786.0
1400605,7,RR,São Luiz,Total,Total,Total,481,81552.0
1400704,7,RR,Uiramutã,Total,Total,Total,1342,19535.0
1500107,7,PA,Abaetetuba,Total,Total,Total,9410,94116.0
1500131,7,PA,Abel Figueiredo,Total,Total,Total,186,25917.0
1500206,7,PA,Acará,Total,Total,Total,6373,154795.0
1500305,7,PA,Afuá,Total,Total,Total,4296,133819.0
1500347,7,PA,Água Azul do Norte,Total,Total,Total,1614,408679.0
1500404,7,PA,Alenquer,Total,Total,Total,4940,302046.0
1500503,7,PA,Almeirim,Total,Total,Total,1093,181246.0
1500602,7,PA,Altamira,Total,Total,Total,3896,1527792.0
1500701,7,PA,Anajás,Total,Total,Total,1666,162642.0
1500800,7,PA,Ananindeua,Total,Total,Total,287,1401.0
1500859,7,PA,Anapu,Total,Total,Total,2403,396206.0
1500909,7,PA,Augusto Corrêa,Total,Total,Total,3531,38004.0
1500958,7,PA,Aurora do Pará,Total,Total,Total,2364,122139.0
