municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
2601508,7,PE,Belém de Maria,Total,Total,Total,894,5185.0
2601607,7,PE,Belém do São Francisco,Total,Total,Total,1620,42628.0
2601706,7,PE,Belo Jardim,Total,Total,Total,1502,14165.0
2601805,7,PE,Betânia,Total,Total,Total,1808,44305.0
2601904,7,PE,Bezerros,Total,Total,Total,1750,17094.0
2602001,7,PE,Bodocó,Total,Total,Total,3568,69467.0
2602100,7,PE,Bom Conselho,Total,Total,Total,2710,40216.0
2602209,7,PE,Bom Jardim,Total,Total,Total,3832,11434.0
2602308,7,PE,Bonito,Total,Total,Total,1679,16817.0
2602407,7,PE,Brejão,Total,Total,Total,1005,11252.0
2602506,7,PE,Brejinho,Total,Total,Total,837,7875.0
2602605,7,PE,Brejo da Madre de Deus,Total,Total,Total,1442,25762.0
2602704,7,PE,Buenos Aires,Total,Total,Total,419,4160.0
2602803,7,PE,Buíque,Total,Total,Total,5652,70107.0
2602902,7,PE,Cabo de Santo Agostinho,Total,Total,Total,1873,19987.0
2603009,7,PE,Cabrobó,Total,Total,Total,1466,44234.0
2603108,7,PE,Cachoeirinha,Total,Total,Total,865,7453.0
2603207,7,PE,Caetés,Total,Total,Total,4463,21673.0
2603306,7,PE,Calçado,Total,Total,Total,1908,7740.0
2603405,7,PE,Calumbi,Total,Total,Total,613,6145.0
2603454,7,PE,Camaragibe,Total,Total,Total,12,179.0
2603504,7,PE,Camocim de São Félix,Total,Total,Total,322,2523.0
2603603,7,PE,Camutanga,Total,Total,Total,230,3531.0
2603702,7,PE,Canhotinho,Total,Total,Total,2180,32488.0
2603801,7,PE,Capoeiras,Total,Total,Total,2706,22966.0
2603900,7,PE,Carnaíba,Total,Total,Total,2647,16983.0
2603926,7,PE,Carnaubeira da Penha,Total,Total,Total,2098,43435.0
2604007,7,PE,Carpina,Total,Total,Total,398,6703.0
2604106,7,PE,Caruaru,Total,Total,Total,1406,22470.0
2604155,7,PE,Casinhas,Total,Total,Total,1903,6670.0
2604205,7,PE,Catende,Total,Total,Total,892,5357.0
2604304,7,PE,Cedro,Total,Total,Total,637,8060.0
2604403,7,PE,Chã de Alegria,Total,Total,Total,321,4159.0
2604502,7,PE,Chã Grande,Total,Total,Total,1502,5302.0
2604601,7,PE,Condado,Total,Total,Total,232,1996.0
2604700,7,PE,Correntes,Total,Total,Total,1291,23455.0
2604809,7,PE,Cortês,Total,Total,Total,341,6849.0
2604908,7,PE,Cumaru,Total,Total,Total,2407,20752.0
2605004,7,PE,Cupira,Total,Total,Total,557,6792.0
2605103,7,PE,Custódia,Total,Total,Total,3789,90894.0
2605152,7,PE,Dormentes,Total,Total,Total,3037,104655.0
2605202,7,PE,Escada,Total,Total,Total,613,30905.0
2605301,7,PE,Exu,Total,Total,Total,2597,66014.0
2605400,7,PE,Feira Nova,Total,Total,Total,771,5599.0
2605459,7,PE,Fernando de Noronha,Total,Total,Total,14,20.0
2605509,7,PE,Ferreiros,Total,Total,Total,430,6436.0
2605608,7,PE,Flores,Total,Total,Total,3373,44238.0
2605707,7,PE,Floresta,Total,Total,Total,2033,144542.0
2605806,7,PE,Frei Miguelinho,Total,Total,Total,1336,11067.0
2605905,7,PE,Gameleira,Total,Total,Total,571,19792.0
2606002,7,PE,Garanhuns,Total,Total,Total,3055,26210.0
2606101,7,PE,Glória do Goitá,Total,Total,Total,2347,13438.0
2606200,7,PE,Goiana,Total,Total,Total,1546,24385.0
2606309,7,PE,Granito,Total,Total,Total,553,32403.0
2606408,7,PE,Gravatá,Total,Total,Total,1897,15383.0
2606507,7,PE,Iati,Total,Total,Total,1832,28285.0
2606606,7,PE,Ibimirim,Total,Total,Total,1741,40402.0
2606705,7,PE,Ibirajuba,Total,Total,Total,1029,9675.0
2606804,7,PE,Igarassu,Total,Total,Total,559,28671.0
2606903,7,PE,Iguaracy,Total,Total,Total,1598,42481.0
2607000,7,PE,Inajá,Total,Total,Total,2023,43366.0
2607109,7,PE,Ingazeira,Total,Total,Total,626,13143.0
2607208,7,PE,Ipojuca,Total,Total,Total,1489,36176.0
2607307,7,PE,Ipubi,Total,Total,Total,1941,23881.0
2607406,7,PE,Itacuruba,Total,Total,Total,297,20118.0
2607505,7,PE,Itaíba,Total,Total,Total,4232,66274.0
2607604,7,PE,Ilha de Itamaracá,Total,Total,Total,95,448.0
2607653,7,PE,Itambé,Total,Total,Total,745,19005.0
2607703,7,PE,Itapetim,Total,Total,Total,1468,24794.0
2607752,7,PE,Itapissuma,Total,Total,Total,101,46.0
2607802,7,PE,Itaquitinga,Total,Total,Total,746,6049.0
2607901,7,PE,Jaboatão dos Guararapes,Total,Total,Total,605,3972.0
2607950,7,PE,Jaqueira,Total,Total,Total,516,2837.0
2608008,7,PE,Jataúba,Total,Total,Total,1094,28597.0
2608057,7,PE,Jatobá,Total,Total,Total,853,13468.0
2608107,7,PE,João Alfredo,Total,Total,Total,2749,8669.0
2608206,7,PE,Joaquim Nabuco,Total,Total,Total,404,3310.0
2608255,7,PE,Jucati,Total,Total,Total,1780,8407.0
2608305,7,PE,Jupi,Total,Total,Total,1476,6782.0
2608404,7,PE,Jurema,Total,Total,Total,1425,7210.0
2608453,7,PE,Lagoa do Carro,Total,Total,Total,659,5858.0
2608503,7,PE,Lagoa de Itaenga,Total,Total,Total,709,3853.0
2608602,7,PE,Lagoa do Ouro,Total,Total,Total,1609,11655.0
2608701,7,PE,Lagoa dos Gatos,Total,Total,Total,2262,14624.0
2608750,7,PE,Lagoa Grande,Total,Total,Total,1412,57091.0
2608800,7,PE,Lajedo,Total,Total,Total,1531,8542.0
2608909,7,PE,Limoeiro,Total,Total,Total,1721,16235.0
2609006,7,PE,Macaparana,Total,Total,Total,848,8223.0
2609105,7,PE,Machados,Total,Total,Total,575,4750.0
2609154,7,PE,Manari,Total,Total,Total,2877,21649.0
2609204,7,PE,Maraial,Total,Total,Total,355,8387.0
2609303,7,PE,Mirandiba,Total,Total,Total,988,23184.0
2609402,7,PE,Moreno,Total,Total,Total,795,8512.0
2609501,7,PE,Nazaré da Mata,Total,Total,Total,389,10323.0
2609600,7,PE,Olinda,Total,Total,Total,84,175.0
2609709,7,PE,Orobó,Total,Total,Total,2229,7860.0
2609808,7,PE,Orocó,Total,Total,Total,1535,13100.0
2609907,7,PE,Ouricuri,Total,Total,Total,5143,87395.0
2610004,7,PE,Palmares,Total,Total,Total,540,18492.0
2610103,7,PE,Palmeirina,Total,Total,Total,737,10725.0
2610202,7,PE,Panelas,Total,Total,Total,2440,20342.0
2610301,7,PE,Paranatama,Total,Total,Total,2031,13014.0
2610400,7,PE,Parnamirim,Total,Total,Total,1917,107283.0
2610509,7,PE,Passira,Total,Total,Total,2273,15182.0
2610608,7,PE,Paudalho,Total,Total,Total,898,14841.0
2610707,7,PE,Paulista,Total,Total,Total,165,704.0
2610806,7,PE,Pedra,Total,Total,Total,1834,50541.0
2610905,7,PE,Pesqueira,Total,Total,Total,2600,32927.0
2611002,7,PE,Petrolândia,Total,Total,Total,1579,21774.0
2611101,7,PE,Petrolina,Total,Total,Total,7018,159953.0
2611200,7,PE,Poção,Total,Total,Total,895,8761.0
2611309,7,PE,Pombos,Total,Total,Total,2108,13892.0
2611408,7,PE,Primavera,Total,Total,Total,617,7538.0
2611507,7,PE,Quipapá,Total,Total,Total,1670,16111.0
2611533,7,PE,Quixaba,Total,Total,Total,1356,12215.0
2611606,7,PE,Recife,Total,Total,Total,242,837.0
2611705,7,PE,Riacho das Almas,Total,Total,Total,1419,14767.0
2611804,7,PE,Ribeirão,Total,Total,Total,312,19956.0
2611903,7,PE,Rio Formoso,Total,Total,Total,881,19703.0
2612000,7,PE,Sairé,Total,Total,Total,1235,8386.0
2612109,7,PE,Salgadinho,Total,Total,Total,770,2804.0
2612208,7,PE,Salgueiro,Total,Total,Total,1988,51624.0
2612307,7,PE,Saloá,Total,Total,Total,1469,15681.0
2612406,7,PE,Sanharó,Total,Total,Total,873,13573.0
2612455,7,PE,Santa Cruz,Total,Total,Total,1937,68374.0
2612471,7,PE,Santa Cruz da Baixa Verde,Total,Total,Total,1127,5725.0
2612505,7,PE,Santa Cruz do Capibaribe,Total,Total,Total,435,17546.0
2612554,7,PE,Santa Filomena,Total,Total,Total,2030,51582.0
2612604,7,PE,Santa Maria da Boa Vista,Total,Total,Total,4359,80323.0
2612703,7,PE,Santa Maria do Cambucá,Total,Total,Total,1740,3639.0
2612802,7,PE,Santa Terezinha,Total,Total,Total,813,8451.0
2612901,7,PE,São Benedito do Sul,Total,Total,Total,557,9798.0
2613008,7,PE,São Bento do Una,Total,Total,Total,4101,34210.0
2613107,7,PE,São Caitano,Total,Total,Total,1684,12531.0
2613206,7,PE,São João,Total,Total,Total,2749,15307.0
2613305,7,PE,São Joaquim do Monte,Total,Total,Total,1141,6107.0
2613404,7,PE,São José da Coroa Grande,Total,Total,Total,326,4143.0
2613503,7,PE,São José do Belmonte,Total,Total,Total,2975,68341.0
2613602,7,PE,São José do Egito,Total,Total,Total,2765,41226.0
2613701,7,PE,São Lourenço da Mata,Total,Total,Total,727,13533.0
2613800,7,PE,São Vicente Férrer,Total,Total,Total,478,5914.0
2613909,7,PE,Serra Talhada,Total,Total,Total,4229,171938.0
2614006,7,PE,Serrita,Total,Total,Total,2223,81814.0
2614105,7,PE,Sertânia,Total,Total,Total,3589,146121.0
2614204,7,PE,Sirinhaém,Total,Total,Total,718,35143.0
2614303,7,PE,Moreilândia,Total,Total,Total,779,25750.0
2614402,7,PE,Solidão,Total,Total,Total,807,6234.0
2614501,7,PE,Surubim,Total,Total,Total,2442,10734.0
2614600,7,PE,Tabira,Total,Total,Total,1741,19956.0
2614709,7,PE,Tacaimbó,Total,Total,Total,571,4781.0
2614808,7,PE,Tacaratu,Total,Total,Total,3061,25037.0
2614857,7,PE,Tamandaré,Total,Total,Total,571,5858.0
2615003,7,PE,Taquaritinga do Norte,Total,Total,Total,1584,29574.0
2615102,7,PE,Terezinha,Total,Total,Total,850,8776.0
2615201,7,PE,Terra Nova,Total,Total,Total,457,13717.0
2615300,7,PE,Timbaúba,Total,Total,Total,706,13626.0
2615409,7,PE,Toritama,Total,Total,Total,33,512.0
2615508,7,PE,Tracunhaém,Total,Total,Total,242,9830.0
2615607,7,PE,Trindade,Total,Total,Total,1196,8561.0
2615706,7,PE,Triunfo,Total,Total,Total,1687,9973.0
2615805,7,PE,Tupanatinga,Total,Total,Total,2635,33960.0
2615904,7,PE,Tuparetama,Total,Total,Total,373,11120.0
2616001,7,PE,Venturosa,Total,Total,Total,1134,20797.0
2616100,7,PE,Verdejante,Total,Total,Total,1243,20805.0
2616183,7,PE,Vertente do Lério,Total,Total,Total,610,3039.0
2616209,7,PE,Vertentes,Total,Total,Total,790,12201.0
2616308,7,PE,Vicência,Total,Total,Total,768,16908.0
2616407,7,PE,Vitória de Santo Antão,Total,Total,Total,1834,20961.0
2616506,7,PE,Xexéu,Total,Total,Total,119,3512.0
2700102,7,AL,Água Branca,Total,Total,Total,2122,19445.0
2700201,7,AL,Anadia,Total,Total,Total,270,9686.0
2700300,7,AL,Arapiraca,Total,Total,Total,2930,13195.0
2700409,7,AL,Atalaia,Total,Total,Total,440,26192.0
2700508,7,AL,Barra de Santo Antônio,Total,Total,Total,15,19471.0
2700607,7,AL,Barra de São Miguel,Total,Total,Total,15,1612.0
2700706,7,AL,Batalha,Total,Total,Total,735,21178.0
2700805,7,AL,Belém,Total,Total,Total,232,2886.0
2700904,7,AL,Belo Monte,Total,Total,Total,498,10347.0
2701001,7,AL,Boca da Mata,Total,Total,Total,210,18378.0
2701100,7,AL,Branquinha,Total,Total,Total,543,7410.0
2701209,7,AL,Cacimbinhas,Total,Total,Total,774,18557.0
2701308,7,AL,Cajueiro,Total,Total,Total,163,10305.0
2701357,7,AL,Campestre,Total,Total,Total,124,3105.0
2701407,7,AL,Campo Alegre,Total,Total,Total,337,21230.0
2701506,7,AL,Campo Grande,Total,Total,Total,1302,12283.0
2701605,7,AL,Canapi,Total,Total,Total,1692,38247.0
2701704,7,AL,Capela,Total,Total,Total,252,16186.0
2701803,7,AL,Carneiros,Total,Total,Total,616,6306.0
2701902,7,AL,Chã Preta,Total,Total,Total,420,22340.0
2702009,7,AL,Coité do Nóia,Total,Total,Total,1712,5408.0
2702108,7,AL,Colônia Leopoldina,Total,Total,Total,354,14625.0
2702207,7,AL,Coqueiro Seco,Total,Total,Total,41,658.0
2702306,7,AL,Coruripe,Total,Total,Total,700,52349.0
2702355,7,AL,Craíbas,Total,Total,Total,2932,15316.0
2702405,7,AL,Delmiro Gouveia,Total,Total,Total,973,23194.0
2702504,7,AL,Dois Riachos,Total,Total,Total,1156,8875.0
2702553,7,AL,Estrela de Alagoas,Total,Total,Total,2676,15691.0
2702603,7,AL,Feira Grande,Total,Total,Total,3275,11260.0
2702702,7,AL,Feliz Deserto,Total,Total,Total,263,7074.0
2702801,7,AL,Flexeiras,Total,Total,Total,558,23043.0
2702900,7,AL,Girau do Ponciano,Total,Total,Total,4141,27773.0
2703007,7,AL,Ibateguara,Total,Total,Total,419,11739.0
2703106,7,AL,Igaci,Total,Total,Total,2946,19613.0
2703205,7,AL,Igreja Nova,Total,Total,Total,1414,28389.0
2703304,7,AL,Inhapi,Total,Total,Total,1745,25968.0
2703403,7,AL,Jacaré dos Homens,Total,Total,Total,538,14183.0
2703502,7,AL,Jacuípe,Total,Total,Total,444,16011.0
2703601,7,AL,Japaratinga,Total,Total,Total,158,4856.0
2703700,7,AL,Jaramataia,Total,Total,Total,401,7294.0
2703759,7,AL,Jequiá da Praia,Total,Total,Total,224,16988.0
2703809,7,AL,Joaquim Gomes,Total,Total,Total,751,12715.0
2703908,7,AL,Jundiá,Total,Total,Total,215,4008.0
2704005,7,AL,Junqueiro,Total,Total,Total,1563,17329.0
2704104,7,AL,Lagoa da Canoa,Total,Total,Total,1583,5437.0
2704203,7,AL,Limoeiro de Anadia,Total,Total,Total,1985,13802.0
2704302,7,AL,Maceió,Total,Total,Total,44,18050.0
2704401,7,AL,Major Isidoro,Total,Total,Total,1985,27145.0
2704500,7,AL,Maragogi,Total,Total,Total,1180,15144.0
2704609,7,AL,Maravilha,Total,Total,Total,982,17731.0
2704708,7,AL,Marechal Deodoro,Total,Total,Total,101,14265.0
2704807,7,AL,Maribondo,Total,Total,Total,290,8621.0
2704906,7,AL,Mar Vermelho,Total,Total,Total,341,8756.0
2705002,7,AL,Mata Grande,Total,Total,Total,3260,34299.0
2705101,7,AL,Matriz de Camaragibe,Total,Total,Total,312,15498.0
2705200,7,AL,Messias,Total,Total,Total,258,13398.0
2705309,7,AL,Minador do Negrão,Total,Total,Total,793,12955.0
2705408,7,AL,Monteirópolis,Total,Total,Total,316,4760.0
2705507,7,AL,Murici,Total,Total,Total,594,28912.0
2705606,7,AL,Novo Lino,Total,Total,Total,281,9009.0
2705705,7,AL,Olho d'Água das Flores,Total,Total,Total,1440,9766.0
2705804,7,AL,Olho d'Água do Casado,Total,Total,Total,722,11604.0
2705903,7,AL,Olho d'Água Grande,Total,Total,Total,898,12986.0
2706000,7,AL,Olivença,Total,Total,Total,1593,10681.0
2706109,7,AL,Ouro Branco,Total,Total,Total,835,11938.0
2706208,7,AL,Palestina,Total,Total,Total,120,1927.0
2706307,7,AL,Palmeira dos Índios,Total,Total,Total,3492,22284.0
2706406,7,AL,Pão de Açúcar,Total,Total,Total,1539,41644.0
2706422,7,AL,Pariconha,Total,Total,Total,757,3371.0
2706448,7,AL,Paripueira,Total,Total,Total,84,3053.0
2706505,7,AL,Passo de Camaragibe,Total,Total,Total,123,18480.0
2706604,7,AL,Paulo Jacinto,Total,Total,Total,337,9123.0
2706703,7,AL,Penedo,Total,Total,Total,1445,42709.0
2706802,7,AL,Piaçabuçu,Total,Total,Total,206,4431.0
2706901,7,AL,Pilar,Total,Total,Total,145,11630.0
2707008,7,AL,Pindoba,Total,Total,Total,325,5241.0
2707107,7,AL,Piranhas,Total,Total,Total,1074,18772.0
2707206,7,AL,Poço das Trincheiras,Total,Total,Total,1486,16875.0
2707305,7,AL,Porto Calvo,Total,Total,Total,416,20717.0
2707404,7,AL,Porto de Pedras,Total,Total,Total,241,15756.0
2707503,7,AL,Porto Real do Colégio,Total,Total,Total,1209,11666.0
2707602,7,AL,Quebrangulo,Total,Total,Total,800,19289.0
2707701,7,AL,Rio Largo,Total,Total,Total,73,25205.0
2707800,7,AL,Roteiro,Total,Total,Total,78,13634.0
2707909,7,AL,Santa Luzia do Norte,Total,Total,Total,19,3374.0
2708006,7,AL,Santana do Ipanema,Total,Total,Total,2351,21932.0
2708105,7,AL,Santana do Mundaú,Total,Total,Total,1679,20914.0
2708204,7,AL,São Brás,Total,Total,Total,467,7237.0
2708303,7,AL,São José da Laje,Total,Total,Total,356,35809.0
2708402,7,AL,São José da Tapera,Total,Total,Total,2468,26527.0
2708501,7,AL,São Luís do Quitunde,Total,Total,Total,883,32043.0
2708600,7,AL,São Miguel dos Campos,Total,Total,Total,148,31617.0
2708709,7,AL,São Miguel dos Milagres,Total,Total,Total,111,4987.0
2708808,7,AL,São Sebastião,Total,Total,Total,2625,18089.0
2708907,7,AL,Satuba,Total,Total,Total,23,1887.0
2708956,7,AL,Senador Rui Palmeira,Total,Total,Total,1558,19132.0
2709004,7,AL,Tanque d'Arca,Total,Total,Total,460,8026.0
2709103,7,AL,Taquarana,Total,Total,Total,2183,8892.0
2709152,7,AL,Teotônio Vilela,Total,Total,Total,529,17971.0
2709202,7,AL,Traipu,Total,Total,Total,3163,40987.0
2709301,7,AL,União dos Palmares,Total,Total,Total,1650,22641.0
2709400,7,AL,Viçosa,Total,Total,Total,837,21361.0
2800100,7,SE,Amparo do São Francisco,Total,Total,Total,44,3321.0
2800209,7,SE,Aquidabã,Total,Total,Total,1516,27558.0
2800308,7,SE,Aracaju,Total,Total,Total,114,489.0
2800407,7,SE,Arauá,Total,Total,Total,983,15932.0
2800506,7,SE,Areia Branca,Total,Total,Total,873,4578.0
2800605,7,SE,Barra dos Coqueiros,Total,Total,Total,266,1609.0
2800670,7,SE,Boquim,Total,Total,Total,2555,16873.0
2800704,7,SE,Brejo Grande,Total,Total,Total,459,6651.0
2801009,7,SE,Campo do Brito,Total,Total,Total,1156,12488.0
2801108,7,SE,Canhoba,Total,Total,Total,456,13852.0
2801207,7,SE,Canindé de São Francisco,Total,Total,Total,1229,49965.0
2801306,7,SE,Capela,Total,Total,Total,1511,33282.0
2801405,7,SE,Carira,Total,Total,Total,1883,51486.0
2801504,7,SE,Carmópolis,Total,Total,Total,118,3453.0
2801603,7,SE,Cedro de São João,Total,Total,Total,358,5980.0
2801702,7,SE,Cristinápolis,Total,Total,Total,1243,14297.0
2801900,7,SE,Cumbe,Total,Total,Total,439,14443.0
2802007,7,SE,Divina Pastora,Total,Total,Total,165,8144.0
2802106,7,SE,Estância,Total,Total,Total,1844,28568.0
2802205,7,SE,Feira Nova,Total,Total,Total,562,19886.0
2802304,7,SE,Frei Paulo,Total,Total,Total,917,27065.0
2802403,7,SE,Gararu,Total,Total,Total,2253,46153.0
2802502,7,SE,General Maynard,Total,Total,Total,183,2213.0
2802601,7,SE,Graccho Cardoso,Total,Total,Total,942,21759.0
2802700,7,SE,Ilha das Flores,Total,Total,Total,331,2341.0
2802809,7,SE,Indiaroba,Total,Total,Total,1794,19616.0
2802908,7,SE,Itabaiana,Total,Total,Total,3262,13560.0
2803005,7,SE,Itabaianinha,Total,Total,Total,3591,36062.0
2803104,7,SE,Itabi,Total,Total,Total,727,15215.0
2803203,7,SE,Itaporanga d'Ajuda,Total,Total,Total,1780,35454.0
2803302,7,SE,Japaratuba,Total,Total,Total,859,19724.0
2803401,7,SE,Japoatã,Total,Total,Total,983,19932.0
2803500,7,SE,Lagarto,Total,Total,Total,6909,73120.0
2803609,7,SE,Laranjeiras,Total,Total,Total,263,14530.0
2803708,7,SE,Macambira,Total,Total,Total,492,9501.0
2803807,7,SE,Malhada dos Bois,Total,Total,Total,171,4384.0
2803906,7,SE,Malhador,Total,Total,Total,1189,7399.0
2804003,7,SE,Maruim,Total,Total,Total,94,8199.0
2804102,7,SE,Moita Bonita,Total,Total,Total,2205,6912.0
2804201,7,SE,Monte Alegre de Sergipe,Total,Total,Total,1162,28728.0
2804300,7,SE,Muribeca,Total,Total,Total,331,6634.0
2804409,7,SE,Neópolis,Total,Total,Total,976,13593.0
2804458,7,SE,Nossa Senhora Aparecida,Total,Total,Total,2011,30983.0
2804508,7,SE,Nossa Senhora da Glória,Total,Total,Total,2992,60419.0
2804607,7,SE,Nossa Senhora das Dores,Total,Total,Total,1415,42046.0
2804706,7,SE,Nossa Senhora de Lourdes,Total,Total,Total,396,6664.0
2804805,7,SE,Nossa Senhora do Socorro,Total,Total,Total,331,5583.0
2804904,7,SE,Pacatuba,Total,Total,Total,1305,16204.0
2805000,7,SE,Pedra Mole,Total,Total,Total,293,7202.0
2805109,7,SE,Pedrinhas,Total,Total,Total,592,3216.0
2805208,7,SE,Pinhão,Total,Total,Total,478,11009.0
2805307,7,SE,Pirambu,Total,Total,Total,675,8735.0
2805406,7,SE,Poço Redondo,Total,Total,Total,4077,88008.0
2805505,7,SE,Poço Verde,Total,Total,Total,2105,30167.0
2805604,7,SE,Porto da Folha,Total,Total,Total,2647,56698.0
2805703,7,SE,Propriá,Total,Total,Total,637,5581.0
2805802,7,SE,Riachão do Dantas,Total,Total,Total,3594,34617.0
2805901,7,SE,Riachuelo,Total,Total,Total,256,3977.0
2806008,7,SE,Ribeirópolis,Total,Total,Total,1847,22167.0
2806107,7,SE,Rosário do Catete,Total,Total,Total,160,5732.0
2806206,7,SE,Salgado,Total,Total,Total,2075,19993.0
2806305,7,SE,Santa Luzia do Itanhy,Total,Total,Total,1172,19876.0
2806404,7,SE,Santana do São Francisco,Total,Total,Total,60,2903.0
2806503,7,SE,Santa Rosa de Lima,Total,Total,Total,465,6844.0
2806602,7,SE,Santo Amaro das Brotas,Total,Total,Total,734,10963.0
2806701,7,SE,São Cristóvão,Total,Total,Total,946,16494.0
2806800,7,SE,São Domingos,Total,Total,Total,1509,5333.0
2806909,7,SE,São Francisco,Total,Total,Total,165,7391.0
2807006,7,SE,São Miguel do Aleixo,Total,Total,Total,561,11912.0
2807105,7,SE,Simão Dias,Total,Total,Total,3491,39825.0
2807204,7,SE,Siriri,Total,Total,Total,492,16233.0
2807303,7,SE,Telha,Total,Total,Total,137,5669.0
2807402,7,SE,Tobias Barreto,Total,Total,Total,3545,63610.0
2807501,7,SE,Tomar do Geru,Total,Total,Total,1832,19177.0
2807600,7,SE,Umbaúba,Total,Total,Total,1092,10681.0
2900108,7,BA,Abaíra,Total,Total,Total,919,11806.0
2900207,7,BA,Abaré,Total,Total,Total,1885,44919.0
2900306,7,BA,Acajutiba,Total,Total,Total,1337,13242.0
2900355,7,BA,Adustina,Total,Total,Total,3249,54796.0
2900405,7,BA,Água Fria,Total,Total,Total,2165,27722.0
2900504,7,BA,Érico Cardoso,Total,Total,Total,1989,23200.0
2900603,7,BA,Aiquara,Total,Total,Total,329,11623.0
2900702,7,BA,Alagoinhas,Total,Total,Total,2546,39649.0
2900801,7,BA,Alcobaça,Total,Total,Total,1246,52705.0
2900900,7,BA,Almadina,Total,Total,Total,197,19191.0
2901007,7,BA,Amargosa,Total,Total,Total,2727,39532.0
2901106,7,BA,Amélia Rodrigues,Total,Total,Total,323,6411.0
2901155,7,BA,América Dourada,Total,Total,Total,1301,39174.0
2901205,7,BA,Anagé,Total,Total,Total,2475,57058.0
2901304,7,BA,Andaraí,Total,Total,Total,954,74115.0
2901353,7,BA,Andorinha,Total,Total,Total,2401,78649.0
2901403,7,BA,Angical,Total,Total,Total,1292,70814.0
2901502,7,BA,Anguera,Total,Total,Total,839,10767.0
2901601,7,BA,Antas,Total,Total,Total,1823,30766.0
2901700,7,BA,Antônio Cardoso,Total,Total,Total,2064,21947.0
2901809,7,BA,Antônio Gonçalves,Total,Total,Total,843,15175.0
2901908,7,BA,Aporá,Total,Total,Total,2633,41121.0
2901957,7,BA,Apuarema,Total,Total,Total,416,8255.0
2902005,7,BA,Aracatu,Total,Total,Total,3017,84991.0
2902054,7,BA,Araçás,Total,Total,Total,851,21862.0
2902104,7,BA,Araci,Total,Total,Total,4779,88924.0
2902203,7,BA,Aramari,Total,Total,Total,771,25033.0
2902252,7,BA,Arataca,Total,Total,Total,768,20952.0
2902302,7,BA,Aratuípe,Total,Total,Total,914,10326.0
2902401,7,BA,Aurelino Leal,Total,Total,Total,378,35045.0
2902500,7,BA,Baianópolis,Total,Total,Total,2130,191494.0
2902609,7,BA,Baixa Grande,Total,Total,Total,2642,84169.0
2902658,7,BA,Banzaê,Total,Total,Total,1754,16662.0
2902708,7,BA,Barra,Total,Total,Total,2904,77129.0
2902807,7,BA,Barra da Estiva,Total,Total,Total,3774,86821.0
2902906,7,BA,Barra do Choça,Total,Total,Total,1996,57643.0
2903003,7,BA,Barra do Mendes,Total,Total,Total,1995,58597.0
2903102,7,BA,Barra do Rocha,Total,Total,Total,461,20050.0
2903201,7,BA,Barreiras,Total,Total,Total,2192,453357.0
2903235,7,BA,Barro Alto,Total,Total,Total,1866,30550.0
2903276,7,BA,Barrocas,Total,Total,Total,1589,11225.0
2903300,7,BA,Barro Preto,Total,Total,Total,393,16935.0
2903409,7,BA,Belmonte,Total,Total,Total,1397,109134.0
2903508,7,BA,Belo Campo,Total,Total,Total,1272,21967.0
2903607,7,BA,Biritinga,Total,Total,Total,2577,24410.0
2903706,7,BA,Boa Nova,Total,Total,Total,2080,56075.0
2903805,7,BA,Boa Vista do Tupim,Total,Total,Total,2536,202231.0
2903904,7,BA,Bom Jesus da Lapa,Total,Total,Total,3721,159194.0
2903953,7,BA,Bom Jesus da Serra,Total,Total,Total,1570,20938.0
2904001,7,BA,Boninal,Total,Total,Total,1114,20185.0
2904050,7,BA,Bonito,Total,Total,Total,1678,46120.0
2904100,7,BA,Boquira,Total,Total,Total,3082,50406.0
2904209,7,BA,Botuporã,Total,Total,Total,2223,28733.0
2904308,7,BA,Brejões,Total,Total,Total,1428,38899.0
2904407,7,BA,Brejolândia,Total,Total,Total,1410,106701.0
2904506,7,BA,Brotas de Macaúbas,Total,Total,Total,1640,31797.0
2904605,7,BA,Brumado,Total,Total,Total,4600,98853.0
2904704,7,BA,Buerarema,Total,Total,Total,571,15516.0
2904753,7,BA,Buritirama,Total,Total,Total,2211,138170.0
2904803,7,BA,Caatiba,Total,Total,Total,679,46067.0
2904852,7,BA,Cabaceiras do Paraguaçu,Total,Total,Total,3118,13559.0
2904902,7,BA,Cachoeira,Total,Total,Total,1989,16480.0
2905008,7,BA,Caculé,Total,Total,Total,2499,41953.0
2905107,7,BA,Caém,Total,Total,Total,1035,37468.0
2905156,7,BA,Caetanos,Total,Total,Total,1873,47814.0
2905206,7,BA,Caetité,Total,Total,Total,4555,68691.0
2905305,7,BA,Cafarnaum,Total,Total,Total,2227,28456.0
2905404,7,BA,Cairu,Total,Total,Total,26,4717.0
2905503,7,BA,Caldeirão Grande,Total,Total,Total,1597,30736.0
2905602,7,BA,Camacan,Total,Total,Total,747,32864.0
2905701,7,BA,Camaçari,Total,Total,Total,1175,17724.0
2905800,7,BA,Camamu,Total,Total,Total,2692,40078.0
2905909,7,BA,Campo Alegre de Lourdes,Total,Total,Total,5260,113850.0
2906006,7,BA,Campo Formoso,Total,Total,Total,5840,223868.0
2906105,7,BA,Canápolis,Total,Total,Total,1601,30285.0
2906204,7,BA,Canarana,Total,Total,Total,2588,40482.0
2906303,7,BA,Canavieiras,Total,Total,Total,1560,73424.0
