cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
1101500,RO,12954.0,7548,,90.0,14709.0,29040.0,1677.0,117576.0,159.0
1101559,RO,4536.0,2619,,100.0,7.0,,738.0,40242.0,45.0
1101609,RO,8540.0,4851,,555.0,7464.0,13228.0,2160.0,219207.0,159.0
1101708,RO,11377.0,6867,,88.0,409.0,,1623.0,56977.0,38.0
1101757,RO,8265.0,4773,,693.0,9509.0,25444.0,1707.0,120711.0,135.0
1101807,RO,6843.0,3978,,145.0,34.0,,942.0,73342.0,90.0
1200013,AC,14657.0,11157,,150.0,5464.0,195.0,1462.0,152246.0,199.0
1200054,AC,8573.0,10551,,84.0,2135.0,,523.0,69947.0,4.0
1200104,AC,27841.0,20619,,78.0,7800.0,,2100.0,337267.0,168.0
1200138,AC,13766.0,11658,,236.0,5337.0,,1404.0,264480.0,148.0
1200179,AC,10922.0,9210,,125.0,18300.0,25814.0,1289.0,156800.0,111.0
1200203,AC,98382.0,88998,,224.0,1751.0,1800.0,3264.0,132413.0,43.0
1200252,AC,19739.0,14385,,72.0,8417.0,2312.0,1454.0,172858.0,76.0
1200302,AC,37644.0,38124,,144.0,9327.0,,2968.0,346175.0,7.0
1200328,AC,9787.0,11544,,41.0,1536.0,,484.0,20682.0,
1200336,AC,20329.0,19584,,162.0,1159.0,,1088.0,34151.0,
1200344,AC,12776.0,11280,,91.0,2100.0,,645.0,86082.0,
1200351,AC,17951.0,18072,,216.0,1459.0,,1677.0,36255.0,
1200385,AC,17127.0,14319,,86.0,20890.0,48236.0,1346.0,165281.0,241.0
1200393,AC,11275.0,13632,,105.0,591.0,,1116.0,37392.0,
1200401,AC,387852.0,291516,,176.0,17437.0,12474.0,4106.0,512655.0,299.0
1200427,AC,15537.0,21975,,137.0,1290.0,,1292.0,46309.0,
1200435,AC,7143.0,8112,,58.0,1014.0,,632.0,28049.0,
1200450,AC,22352.0,18603,,88.0,25220.0,22509.0,1454.0,177215.0,276.0
1200500,AC,43916.0,33681,,98.0,7087.0,,2682.0,378724.0,134.0
1200609,AC,46517.0,48384,,181.0,8527.0,,2904.0,377807.0,
1200708,AC,19090.0,13218,,163.0,10854.0,12256.0,1887.0,494036.0,152.0
1200807,AC,17455.0,16398,,96.0,8490.0,9743.0,1579.0,205876.0,196.0
1300029,AM,16670.0,19503,,,58.0,,1002.0,8686.0,
1300060,AM,11411.0,12585,,,,,538.0,6340.0,
1300086,AM,10318.0,9825,,,180.0,,622.0,14032.0,
1300102,AM,17932.0,14334,,,,,749.0,21664.0,
1300144,AM,21735.0,11946,,206.0,2150.0,,1091.0,338777.0,140.0
