municipality_code,administrative_dependency,rural_high_school_enrollments
2411205,estadual,0
2409332,estadual,0
2411403,estadual,0
2411429,estadual,0
2411502,estadual,0
2411601,estadual,0
2411700,estadual,0
2411809,estadual,0
2411908,estadual,0
2412005,estadual,184
2412104,estadual,0
2412203,estadual,247
2412302,estadual,0
2412401,estadual,0
2412500,estadual,0
2412559,estadual,0
2412609,estadual,0
2412708,estadual,0
2412807,estadual,0
2412906,estadual,0
2413003,estadual,0
2413102,estadual,0
2413201,estadual,0
2410306,estadual,0
2413300,estadual,0
2413359,estadual,0
2413409,estadual,0
2413508,estadual,0
2413557,estadual,0
2413607,estadual,0
2413706,estadual,0
2413805,estadual,0
2413904,estadual,0
2414001,estadual,0
2414100,estadual,0
2414159,estadual,0
2411056,estadual,0
2414209,estadual,51
2414308,estadual,0
2414407,estadual,0
2414456,estadual,0
2414506,estadual,0
2414605,estadual,0
2414704,estadual,0
2414753,estadual,0
2414803,estadual,38
2414902,estadual,0
2415008,estadual,0
2500106,estadual,0
2500205,estadual,0
2500304,estadual,0
2500403,estadual,0
2500502,estadual,0
2500536,estadual,0
2500577,estadual,0
2500601,estadual,236
2500734,estadual,0
2500775,estadual,0
2500809,estadual,0
2500908,estadual,0
2501005,estadual,0
2501104,estadual,0
2501153,estadual,0
2501203,estadual,0
2501302,estadual,0
2501351,estadual,0
2501401,estadual,295
2501500,estadual,615
2501534,estadual,0
2501609,estadual,0
2501575,estadual,0
2501708,estadual,0
2501807,estadual,0
2501906,estadual,0
2502003,estadual,0
2502052,estadual,0
2502102,estadual,0
2502151,estadual,0
2502201,estadual,0
2502300,estadual,0
2502409,estadual,0
2502508,estadual,0
2502706,estadual,0
2502805,estadual,0
2502904,estadual,0
2503001,estadual,0
2503100,estadual,85
2503209,estadual,0
2503308,estadual,0
2503407,estadual,0
2503506,estadual,0
2503555,estadual,0
2503605,estadual,0
2503704,estadual,0
2503753,estadual,0
2503803,estadual,0
2503902,estadual,0
2504009,estadual,706
2504033,estadual,0
2504074,estadual,0
2504108,estadual,0
2504157,estadual,0
2504207,estadual,0
2504306,estadual,0
2504355,estadual,0
2504405,estadual,0
2504504,estadual,0
2504603,estadual,0
2504702,estadual,0
2504801,estadual,0
2504850,estadual,0
2504900,estadual,97
2505006,estadual,0
2505105,estadual,454
2505238,estadual,0
2505204,estadual,0
2505279,estadual,0
2505303,estadual,0
2505352,estadual,0
2505402,estadual,0
2505600,estadual,0
2505709,estadual,0
2505808,estadual,0
2505907,estadual,0
2506004,estadual,0
2506103,estadual,0
2506202,estadual,0
2506251,estadual,0
2506301,estadual,0
2506400,estadual,0
2506509,estadual,0
2506608,estadual,0
2502607,estadual,0
2506707,estadual,142
2506806,estadual,0
2506905,estadual,0
2507002,estadual,0
2507101,estadual,0
2507200,estadual,0
2507309,estadual,0
2507408,estadual,0
2507507,estadual,0
2513653,estadual,0
2507606,estadual,0
2507705,estadual,0
2507804,estadual,0
2507903,estadual,0
2508000,estadual,210
2508109,estadual,0
2508208,estadual,0
2508307,estadual,0
2508406,estadual,0
2508505,estadual,0
2508554,estadual,0
2508604,estadual,0
2508703,estadual,0
2508802,estadual,0
2508901,estadual,68
2509008,estadual,0
2509057,estadual,325
2509107,estadual,0
2509156,estadual,0
2509206,estadual,64
2509305,estadual,0
2509339,estadual,13
2509370,estadual,0
2509396,estadual,0
2509404,estadual,0
2509503,estadual,0
2509602,estadual,0
2509701,estadual,52
2509800,estadual,80
2509909,estadual,0
2510006,estadual,0
2510105,estadual,0
2510204,estadual,0
2510303,estadual,0
2510402,estadual,0
2510501,estadual,0
2510600,estadual,0
2510659,estadual,0
2510709,estadual,0
2510808,estadual,0
2510907,estadual,0
2511004,estadual,0
2511103,estadual,89
2511202,estadual,0
2512721,estadual,0
2511301,estadual,0
2511400,estadual,127
2511509,estadual,0
2511608,estadual,0
2511707,estadual,0
2511806,estadual,0
2511905,estadual,228
2512002,estadual,0
2512036,estadual,0
2512077,estadual,0
2512101,estadual,0
2512200,estadual,0
2512309,estadual,0
2512408,estadual,300
2512507,estadual,770
2512606,estadual,0
2512705,estadual,0
2512747,estadual,0
2512754,estadual,0
2512762,estadual,0
2512788,estadual,0
2512804,estadual,0
2512903,estadual,65
2513000,estadual,0
2513109,estadual,151
2513158,estadual,0
2513208,estadual,0
2513307,estadual,0
2513356,estadual,0
2513406,estadual,0
2513703,estadual,127
2513802,estadual,0
2513505,estadual,0
2513604,estadual,0
2513851,estadual,0
2513927,estadual,0
2513901,estadual,0
2513968,estadual,0
2513943,estadual,0
2513984,estadual,0
2514008,estadual,0
2500700,estadual,48
2514107,estadual,0
2514206,estadual,0
2514305,estadual,0
2514404,estadual,0
2514503,estadual,0
2514552,estadual,0
2514602,estadual,0
2514651,estadual,0
2514701,estadual,0
2514800,estadual,0
2514453,estadual,0
2514909,estadual,0
2515005,estadual,71
2515104,estadual,0
2515203,estadual,0
2515401,estadual,0
2515302,estadual,111
2515500,estadual,0
2515609,estadual,0
2515708,estadual,0
2515807,estadual,0
2515906,estadual,0
2515930,estadual,0
2515971,estadual,0
2516003,estadual,0
2516102,estadual,0
2516151,estadual,0
2516201,estadual,214
2516300,estadual,0
2516409,estadual,0
2516508,estadual,0
2516607,estadual,85
2516706,estadual,0
2516755,estadual,0
2516805,estadual,0
2516904,estadual,23
2517001,estadual,0
2517100,estadual,0
2517209,estadual,0
2505501,estadual,0
2517407,estadual,0
2600054,estadual,0
2600104,estadual,0
2600203,estadual,78
2600302,estadual,0
2600401,estadual,176
2600500,estadual,153
2600609,estadual,0
2600708,estadual,149
2600807,estadual,0
2600906,estadual,0
2601003,estadual,0
2601052,estadual,0
2601102,estadual,0
2601201,estadual,0
2601300,estadual,0
2601409,estadual,775
2601508,estadual,0
2601607,estadual,111
2601706,estadual,367
2601805,estadual,0
2601904,estadual,0
2602001,estadual,222
2602100,estadual,0
2602209,estadual,382
2602308,estadual,0
2602407,estadual,0
2602506,estadual,0
2602605,estadual,0
2602704,estadual,0
2602803,estadual,600
2602902,estadual,96
2603009,estadual,324
2603108,estadual,0
2603207,estadual,0
2603306,estadual,0
2603405,estadual,0
2603454,estadual,648
2603504,estadual,0
2603603,estadual,0
2603702,estadual,0
2603801,estadual,0
2603900,estadual,0
2603926,estadual,571
2604007,estadual,0
2604106,estadual,0
2604155,estadual,0
2604205,estadual,264
2604304,estadual,0
2604403,estadual,0
2604502,estadual,0
2604601,estadual,0
2604700,estadual,0
2604809,estadual,0
2604908,estadual,0
2605004,estadual,0
2605103,estadual,230
2605152,estadual,171
2605202,estadual,0
2605301,estadual,0
2605400,estadual,0
2605459,estadual,0
2605509,estadual,0
2605608,estadual,140
2605707,estadual,337
2605806,estadual,241
2605905,estadual,0
2606002,estadual,0
2606101,estadual,0
2606200,estadual,0
2606309,estadual,0
2606408,estadual,0
2606507,estadual,0
2606606,estadual,153
2606705,estadual,0
2606804,estadual,173
2606903,estadual,132
2607604,estadual,0
2607000,estadual,164
2607109,estadual,0
2607208,estadual,538
2607307,estadual,0
2607406,estadual,229
2607505,estadual,167
2607653,estadual,0
2607703,estadual,0
2607752,estadual,181
2607802,estadual,0
2607901,estadual,494
2607950,estadual,0
2608008,estadual,0
2608057,estadual,199
2608107,estadual,0
2608206,estadual,0
2608255,estadual,0
2608305,estadual,0
2608404,estadual,0
2608503,estadual,0
2608453,estadual,0
2608602,estadual,0
2608701,estadual,0
2608750,estadual,629
2608800,estadual,0
2608909,estadual,0
2609006,estadual,0
2609105,estadual,0
2609154,estadual,0
2609204,estadual,0
2609303,estadual,0
2614303,estadual,0
2609402,estadual,0
2609501,estadual,0
2609600,estadual,0
2609709,estadual,125
2609808,estadual,345
2609907,estadual,0
2610004,estadual,263
2610103,estadual,0
2610202,estadual,680
2610301,estadual,0
2610400,estadual,0
2610509,estadual,227
2610608,estadual,790
2610707,estadual,0
2610806,estadual,0
2610905,estadual,406
2611002,estadual,371
2611101,estadual,4430
2611200,estadual,0
2611309,estadual,0
2611408,estadual,0
2611507,estadual,0
2611533,estadual,483
2611606,estadual,0
2611705,estadual,0
2611804,estadual,157
2611903,estadual,269
2612000,estadual,0
2612109,estadual,0
2612208,estadual,339
2612307,estadual,0
2612406,estadual,0
2612455,estadual,0
2612471,estadual,0
2612505,estadual,0
2612554,estadual,299
2612604,estadual,343
2612703,estadual,0
2612802,estadual,0
2612901,estadual,0
2613008,estadual,0
2613107,estadual,0
2613206,estadual,0
2613305,estadual,0
2613404,estadual,108
2613503,estadual,0
2613602,estadual,116
2613701,estadual,268
2613800,estadual,0
2613909,estadual,0
2614006,estadual,0
2614105,estadual,0
2614204,estadual,134
2614402,estadual,0
2614501,estadual,0
2614600,estadual,0
2614709,estadual,0
2614808,estadual,661
2614857,estadual,0
2615003,estadual,0
2615102,estadual,0
2615201,estadual,0
2615300,estadual,0
2615409,estadual,0
2615508,estadual,0
2615607,estadual,0
2615706,estadual,0
2615805,estadual,0
2615904,estadual,0
2616001,estadual,0
2616100,estadual,0
2616183,estadual,0
2616209,estadual,0
2616308,estadual,0
2616407,estadual,0
2616506,estadual,147
2700102,estadual,0
2700201,estadual,0
2700300,estadual,0
2700409,estadual,0
2700508,estadual,0
2700607,estadual,0
2700706,estadual,0
2700805,estadual,0
2700904,estadual,0
2701001,estadual,0
2701100,estadual,0
2701209,estadual,0
2701308,estadual,0
2701357,estadual,0
2701407,estadual,452
2701506,estadual,0
2701605,estadual,0
2701704,estadual,0
2701803,estadual,0
2701902,estadual,0
2702009,estadual,0
2702108,estadual,0
2702207,estadual,0
2702306,estadual,699
2702355,estadual,0
2702405,estadual,159
2702504,estadual,0
2702553,estadual,0
2702603,estadual,0
2702702,estadual,0
2702801,estadual,0
2702900,estadual,788
2703007,estadual,0
2703106,estadual,417
2703205,estadual,0
2703304,estadual,31
2703403,estadual,0
2703502,estadual,0
2703601,estadual,0
2703700,estadual,0
2703759,estadual,0
2703809,estadual,95
2703908,estadual,0
2704005,estadual,118
2704104,estadual,0
2704203,estadual,0
2704302,estadual,0
2704401,estadual,388
2704906,estadual,0
2704500,estadual,0
2704609,estadual,0
2704708,estadual,0
2704807,estadual,0
2705002,estadual,218
2705101,estadual,0
2705200,estadual,0
2705309,estadual,0
2705408,estadual,0
2705507,estadual,0
2705606,estadual,0
2705705,estadual,0
2705804,estadual,0
2705903,estadual,0
2706000,estadual,0
2706109,estadual,0
2706208,estadual,0
2706307,estadual,517
2706406,estadual,0
2706422,estadual,79
2706448,estadual,0
2706505,estadual,0
2706604,estadual,0
2706703,estadual,0
2706802,estadual,0
2706901,estadual,0
2707008,estadual,0
2707107,estadual,472
2707206,estadual,152
2707305,estadual,0
2707404,estadual,0
2707503,estadual,128
2707602,estadual,0
2707701,estadual,1855
2707800,estadual,0
2707909,estadual,0
2708006,estadual,214
2708105,estadual,0
2708204,estadual,0
2708303,estadual,0
2708402,estadual,343
2708501,estadual,0
2708600,estadual,0
2708709,estadual,0
2708808,estadual,0
2708907,estadual,0
2708956,estadual,0
2709004,estadual,0
2709103,estadual,0
2709152,estadual,0
2709202,estadual,0
2709301,estadual,0
2709400,estadual,0
2800100,estadual,0
2800209,estadual,0
2800308,estadual,0
2800407,estadual,0
2800506,estadual,0
2800605,estadual,0
2800670,estadual,0
2800704,estadual,178
2801009,estadual,0
2801108,estadual,0
2801207,estadual,0
2801306,estadual,0
2801405,estadual,0
2801504,estadual,0
2801603,estadual,0
2801702,estadual,0
2801900,estadual,0
2802007,estadual,0
2802106,estadual,0
2802205,estadual,0
2802304,estadual,0
2802403,estadual,142
2802502,estadual,0
2802601,estadual,0
2802700,estadual,73
2802809,estadual,0
2802908,estadual,0
2803005,estadual,0
2803104,estadual,0
2803203,estadual,0
2803302,estadual,0
2803401,estadual,228
2803500,estadual,805
2803609,estadual,0
2803708,estadual,0
2803807,estadual,0
2803906,estadual,0
2804003,estadual,0
2804102,estadual,0
2804201,estadual,0
2804300,estadual,0
2804409,estadual,65
2804458,estadual,0
2804508,estadual,0
2804607,estadual,275
2804706,estadual,52
2804805,estadual,0
2804904,estadual,141
2805000,estadual,0
2805109,estadual,0
2805208,estadual,0
2805307,estadual,0
2805406,estadual,424
2805505,estadual,0
2805604,estadual,517
2805703,estadual,0
2805802,estadual,255
2805901,estadual,0
2806008,estadual,0
2806107,estadual,0
2806206,estadual,157
2806305,estadual,0
2806503,estadual,0
2806404,estadual,75
2806602,estadual,0
2806701,estadual,0
2806800,estadual,0
2806909,estadual,0
2807006,estadual,0
2807105,estadual,279
2807204,estadual,0
2807303,estadual,0
2807402,estadual,286
2807501,estadual,0
2807600,estadual,0
2900108,estadual,0
2900207,estadual,302
2900306,estadual,0
2900355,estadual,0
2900405,estadual,0
2900603,estadual,0
2900702,estadual,254
2900801,estadual,177
2900900,estadual,0
2901007,estadual,333
2901106,estadual,0
2901155,estadual,0
2901205,estadual,136
2901304,estadual,104
2901353,estadual,421
2901403,estadual,0
2901502,estadual,0
2901601,estadual,0
2901700,estadual,304
2901809,estadual,0
2901908,estadual,0
2901957,estadual,0
2902054,estadual,0
2902005,estadual,0
2902104,estadual,127
2902203,estadual,0
2902252,estadual,73
2902302,estadual,0
2902401,estadual,0
2902500,estadual,139
2902609,estadual,0
2902658,estadual,122
2902708,estadual,0
2902807,estadual,0
2902906,estadual,237
2903003,estadual,0
2903102,estadual,0
2903201,estadual,0
2903235,estadual,0
2903300,estadual,0
2903276,estadual,0
2903409,estadual,0
2903508,estadual,0
2903607,estadual,0
2903706,estadual,0
2903805,estadual,235
2903904,estadual,144
2903953,estadual,0
2904001,estadual,0
2904050,estadual,0
2904100,estadual,0
2904209,estadual,0
2904308,estadual,362
2904407,estadual,0
2904506,estadual,0
2904605,estadual,0
2904704,estadual,32
2904753,estadual,0
2904803,estadual,0
2904852,estadual,0
2904902,estadual,200
2905008,estadual,0
2905107,estadual,0
2905156,estadual,0
2905206,estadual,207
2905305,estadual,0
2905404,estadual,0
2905503,estadual,0
2905602,estadual,162
2905701,estadual,0
2905800,estadual,0
2905909,estadual,0
2906006,estadual,2331
2906105,estadual,0
2906204,estadual,255
2906303,estadual,0
2906402,estadual,0
2906501,estadual,0
2906600,estadual,0
2906709,estadual,261
2906808,estadual,106
2906824,estadual,0
2906857,estadual,0
2906873,estadual,0
2906899,estadual,0
2906907,estadual,0
2907004,estadual,0
2907103,estadual,0
2907202,estadual,406
2907301,estadual,0
2907400,estadual,0
2907509,estadual,72
2907558,estadual,0
2907608,estadual,0
2907707,estadual,116
2907806,estadual,0
2907905,estadual,0
2908002,estadual,0
2908101,estadual,0
2908200,estadual,0
2908309,estadual,0
2908408,estadual,786
2908507,estadual,0
2908606,estadual,0
2908705,estadual,0
2908804,estadual,0
2908903,estadual,283
2909000,estadual,0
2909109,estadual,0
2909208,estadual,0
2909307,estadual,0
2909406,estadual,0
2909505,estadual,0
2909604,estadual,0
2909703,estadual,0
2909802,estadual,0
2909901,estadual,440
2910008,estadual,0
2910057,estadual,0
2910107,estadual,0
2910206,estadual,0
2910305,estadual,0
2910404,estadual,201
2910503,estadual,377
2900504,estadual,0
2910602,estadual,0
2910701,estadual,61
2910727,estadual,0
2910750,estadual,0
2910776,estadual,0
2910800,estadual,1739
2910859,estadual,0
2910909,estadual,0
2911006,estadual,0
2911105,estadual,0
2911204,estadual,0
2911253,estadual,0
2911303,estadual,0
2911402,estadual,30
2911501,estadual,0
2911600,estadual,0
2911659,estadual,0
2911709,estadual,120
2911808,estadual,0
2911857,estadual,0
2911907,estadual,0
2912004,estadual,0
2912103,estadual,48
2912202,estadual,287
2912301,estadual,0
2912400,estadual,192
2912509,estadual,0
2912608,estadual,0
2912707,estadual,243
2912806,estadual,0
2912905,estadual,74
2913002,estadual,165
2913101,estadual,0
2913200,estadual,17
2913309,estadual,0
2913408,estadual,0
2913457,estadual,0
2913507,estadual,0
2913606,estadual,164
2913705,estadual,161
2913804,estadual,0
2913903,estadual,516
2914000,estadual,0
2914109,estadual,0
2914208,estadual,0
2914307,estadual,0
2914406,estadual,122
2914505,estadual,0
2914604,estadual,0
2914653,estadual,0
2914703,estadual,0
2914802,estadual,0
2914901,estadual,0
2915007,estadual,0
2915106,estadual,0
2915205,estadual,0
2915304,estadual,0
2915353,estadual,0
2915403,estadual,0
2915502,estadual,0
2915601,estadual,0
2915700,estadual,0
2915809,estadual,0
2915908,estadual,0
2916005,estadual,0
2916104,estadual,0
2916203,estadual,0
2916302,estadual,0
2916401,estadual,0
2916500,estadual,513
2916609,estadual,0
2916708,estadual,0
2916807,estadual,0
2916856,estadual,0
2916906,estadual,0
2917003,estadual,141
2917102,estadual,136
2917201,estadual,0
2917300,estadual,0
2917334,estadual,0
2917359,estadual,0
2917409,estadual,0
2917508,estadual,201
2917607,estadual,310
2917706,estadual,350
2917805,estadual,308
2917904,estadual,0
2918001,estadual,0
2918100,estadual,69
2918209,estadual,0
2918308,estadual,0
2918357,estadual,0
2918407,estadual,1514
2918456,estadual,0
2918506,estadual,0
2918555,estadual,0
2918605,estadual,0
2918704,estadual,0
2918753,estadual,0
2918803,estadual,0
2918902,estadual,0
2919009,estadual,0
2919058,estadual,0
2919108,estadual,78
2919157,estadual,317
2919207,estadual,0
2919306,estadual,0
2919405,estadual,0
2919504,estadual,0
2919553,estadual,0
2919603,estadual,0
2919702,estadual,0
2919801,estadual,0
2919900,estadual,0
2919926,estadual,0
2919959,estadual,0
2920007,estadual,0
2920106,estadual,0
2920205,estadual,0
2920304,estadual,0
2920403,estadual,0
2920452,estadual,0
2920502,estadual,0
2920601,estadual,541
2920700,estadual,346
2920809,estadual,0
2920908,estadual,351
2921005,estadual,0
2921054,estadual,0
2921104,estadual,528
2921203,estadual,0
2921302,estadual,0
2921401,estadual,0
2921450,estadual,0
2921500,estadual,390
2921609,estadual,0
2921708,estadual,291
2921807,estadual,0
2921906,estadual,0
2922003,estadual,748
2922052,estadual,0
2922102,estadual,0
2922201,estadual,0
2922250,estadual,138
2922300,estadual,335
2922409,estadual,0
2922508,estadual,0
2922607,estadual,0
2922656,estadual,0
2922706,estadual,0
2922730,estadual,0
2922755,estadual,0
2922805,estadual,0
2922854,estadual,0
2922904,estadual,0
2923001,estadual,99
2923035,estadual,0
2923050,estadual,0
2923100,estadual,217
2923209,estadual,0
2923308,estadual,0
2923357,estadual,0
2923407,estadual,0
2923506,estadual,0
2923605,estadual,0
2923704,estadual,0
2923803,estadual,0
2923902,estadual,64
2924009,estadual,0
2924058,estadual,0
2924108,estadual,0
2924207,estadual,432
2924306,estadual,355
2924405,estadual,0
2924504,estadual,0
2924603,estadual,266
2924652,estadual,0
2924678,estadual,0
2924702,estadual,0
2924801,estadual,0
2924900,estadual,0
2925006,estadual,0
2925105,estadual,0
2925204,estadual,0
2925253,estadual,0
2925303,estadual,221
2925402,estadual,0
2925501,estadual,236
2925600,estadual,0
2925709,estadual,0
2925758,estadual,0
2925808,estadual,0
2925907,estadual,399
2925931,estadual,0
2925956,estadual,422
2926004,estadual,0
2926103,estadual,0
2926202,estadual,256
2926301,estadual,136
2926400,estadual,0
2926509,estadual,0
2926608,estadual,185
2926657,estadual,0
2926707,estadual,128
2926806,estadual,238
2926905,estadual,0
2927002,estadual,0
2927101,estadual,43
2927200,estadual,0
2927309,estadual,0
2927408,estadual,0
2927507,estadual,0
2927606,estadual,0
2927705,estadual,0
2927804,estadual,0
2927903,estadual,0
2928059,estadual,0
2928109,estadual,0
2928406,estadual,0
2928505,estadual,0
2928000,estadual,154
2928208,estadual,0
2928307,estadual,0
2928604,estadual,285
2928703,estadual,0
2928802,estadual,0
2928901,estadual,259
2928950,estadual,0
2929107,estadual,0
2929008,estadual,0
2929057,estadual,0
2929206,estadual,502
2929255,estadual,253
2929305,estadual,0
2929354,estadual,0
2929370,estadual,0
2929404,estadual,0
2929503,estadual,0
2929602,estadual,131
2929701,estadual,0
2929750,estadual,0
2929800,estadual,0
2929909,estadual,0
2930006,estadual,0
2930105,estadual,164
2930204,estadual,0
2930154,estadual,74
2930303,estadual,0
2930402,estadual,607
2930501,estadual,237
2930600,estadual,0
2930709,estadual,171
2930758,estadual,205
2930766,estadual,0
2930774,estadual,0
2930808,estadual,0
2930907,estadual,0
2931004,estadual,306
2931053,estadual,0
2931103,estadual,0
2931202,estadual,0
2931301,estadual,0
2931350,estadual,0
2931400,estadual,191
2931509,estadual,0
2931608,estadual,0
2931707,estadual,0
2931806,estadual,0
2931905,estadual,303
2932002,estadual,312
2932101,estadual,0
2932200,estadual,0
2932309,estadual,0
2932408,estadual,0
2932457,estadual,0
2932507,estadual,0
2932606,estadual,0
2932705,estadual,184
2932804,estadual,0
2932903,estadual,335
2933000,estadual,70
2933059,estadual,0
2933109,estadual,0
2933158,estadual,0
2933174,estadual,0
2933208,estadual,0
2933257,estadual,0
2933307,estadual,264
2933406,estadual,0
2933455,estadual,0
2933505,estadual,0
2933604,estadual,0
3100104,estadual,0
3100203,estadual,0
3100302,estadual,0
3100401,estadual,0
3100500,estadual,0
3100609,estadual,33
3100708,estadual,0
3100807,estadual,0
3100906,estadual,0
3101003,estadual,59
3101102,estadual,0
3101201,estadual,0
3101300,estadual,0
3101409,estadual,0
3101508,estadual,0
3101607,estadual,0
3101631,estadual,0
3101706,estadual,0
3101805,estadual,0
3101904,estadual,0
3102001,estadual,0
3102050,estadual,0
3153509,estadual,0
3102100,estadual,0
3102209,estadual,0
3102308,estadual,0
3102407,estadual,0
3102506,estadual,0
3102605,estadual,0
3102803,estadual,0
3102852,estadual,0
3102902,estadual,0
3103009,estadual,57
3103108,estadual,0
3103207,estadual,0
3103306,estadual,0
3103405,estadual,113
3103504,estadual,0
3103603,estadual,0
3103702,estadual,0
3103751,estadual,0
3103801,estadual,0
3103900,estadual,0
3104007,estadual,0
3104106,estadual,0
3104205,estadual,49
3104304,estadual,0
3104403,estadual,0
3104452,estadual,0
3104502,estadual,30
3104601,estadual,0
3104700,estadual,40
3104809,estadual,0
3104908,estadual,69
3105004,estadual,0
3105103,estadual,0
3105202,estadual,0
3105301,estadual,0
3105400,estadual,0
3105509,estadual,0
3105608,estadual,0
3105707,estadual,0
3105905,estadual,0
3106002,estadual,0
3106101,estadual,0
3106200,estadual,0
3106309,estadual,0
3106408,estadual,0
3106507,estadual,51
3106655,estadual,0
3106606,estadual,54
3106705,estadual,0
3106804,estadual,0
3106903,estadual,0
3107000,estadual,0
3107109,estadual,0
3107208,estadual,0
3107307,estadual,14
3107406,estadual,0
3107505,estadual,0
3107604,estadual,0
3107703,estadual,0
3107802,estadual,0
3107901,estadual,0
3108008,estadual,0
3108107,estadual,0
3108206,estadual,0
3108255,estadual,172
3108305,estadual,0
3108404,estadual,0
3108503,estadual,0
3108701,estadual,0
3108552,estadual,0
3108602,estadual,149
3108800,estadual,0
3108909,estadual,64
3109006,estadual,0
3109105,estadual,0
3109204,estadual,0
3109253,estadual,0
3109303,estadual,0
3109402,estadual,0
3109451,estadual,0
3109501,estadual,0
3109600,estadual,0
3109709,estadual,0
3102704,estadual,39
3109808,estadual,0
3109907,estadual,0
3110004,estadual,0
3110103,estadual,0
3110202,estadual,0
3110301,estadual,11
3110400,estadual,0
3110509,estadual,0
3110608,estadual,0
3110707,estadual,0
3110806,estadual,0
3110905,estadual,0
3111002,estadual,0
3111101,estadual,0
3111150,estadual,0
3111200,estadual,0
3111309,estadual,0
3111408,estadual,0
3111507,estadual,0
3111606,estadual,0
3111903,estadual,0
3111705,estadual,0
3111804,estadual,0
3112000,estadual,0
3112059,estadual,0
3112109,estadual,0
3112208,estadual,0
3112307,estadual,35
3112406,estadual,0
3112505,estadual,0
3112604,estadual,0
3112653,estadual,0
3112703,estadual,0
3112802,estadual,0
3112901,estadual,0
3113008,estadual,0
3113107,estadual,0
3113206,estadual,0
3113305,estadual,0
3113404,estadual,54
3113503,estadual,0
3113602,estadual,0
3113701,estadual,0
3113800,estadual,27
3113909,estadual,0
3114006,estadual,0
3114105,estadual,0
3114204,estadual,24
3114303,estadual,0
3114402,estadual,0
3114501,estadual,0
3114550,estadual,0
3114600,estadual,0
3114709,estadual,0
3114808,estadual,0
3114907,estadual,0
3115003,estadual,0
3115102,estadual,0
3115300,estadual,0
3115359,estadual,0
3115409,estadual,0
3115458,estadual,0
3115474,estadual,0
3115508,estadual,0
3115607,estadual,0
3115706,estadual,0
3115805,estadual,0
3115904,estadual,0
3116001,estadual,42
3116100,estadual,113
3116159,estadual,74
3116209,estadual,0
3116308,estadual,0
3116407,estadual,0
3116506,estadual,0
3116605,estadual,0
3116704,estadual,0
3116803,estadual,0
3116902,estadual,0
3117009,estadual,0
3117108,estadual,0
3115201,estadual,0
3117306,estadual,0
3117207,estadual,0
3117405,estadual,0
3117504,estadual,0
3117603,estadual,0
3117702,estadual,0
3117801,estadual,0
3117836,estadual,84
3117876,estadual,0
3117900,estadual,0
3118007,estadual,0
3118106,estadual,0
3118205,estadual,0
3118304,estadual,0
3118403,estadual,0
3118502,estadual,0
3118601,estadual,0
3118700,estadual,0
3118809,estadual,206
3118908,estadual,0
3119005,estadual,0
3119104,estadual,0
3119203,estadual,0
3119302,estadual,37
3119401,estadual,0
3119500,estadual,0
3119609,estadual,0
3119708,estadual,0
3119807,estadual,0
3119906,estadual,0
3119955,estadual,0
3120003,estadual,0
3120102,estadual,0
3120151,estadual,0
3120201,estadual,0
3120300,estadual,30
3120409,estadual,0
3120508,estadual,0
3120607,estadual,0
3120706,estadual,0
3120805,estadual,0
3120839,estadual,0
3120870,estadual,0
3120904,estadual,50
3121001,estadual,0
3121100,estadual,30
3121209,estadual,0
3121258,estadual,0
3121308,estadual,0
3121407,estadual,0
3121506,estadual,0
3121605,estadual,0
3121704,estadual,0
3121803,estadual,0
3121902,estadual,0
3122009,estadual,0
3122108,estadual,0
3122207,estadual,0
3122306,estadual,0
3122355,estadual,0
3122405,estadual,0
3122454,estadual,0
3122470,estadual,0
3122504,estadual,0
3122603,estadual,0
3122702,estadual,0
3122801,estadual,0
3122900,estadual,0
3123007,estadual,0
3123106,estadual,92
3123205,estadual,0
3123304,estadual,0
3123403,estadual,0
3123502,estadual,0
3123528,estadual,0
3123601,estadual,0
3123700,estadual,0
3123809,estadual,0
3123858,estadual,0
3123908,estadual,0
3124005,estadual,125
3124104,estadual,34
3124203,estadual,173
3124302,estadual,70
3124401,estadual,0
3124500,estadual,0
3124609,estadual,0
3124708,estadual,0
3124807,estadual,0
3124906,estadual,0
3125002,estadual,0
3125101,estadual,0
3125200,estadual,0
3125309,estadual,0
3125408,estadual,0
3125606,estadual,0
3125705,estadual,0
3125804,estadual,0
3125903,estadual,0
3125952,estadual,73
3126000,estadual,0
3126109,estadual,0
3126208,estadual,0
3126307,estadual,0
3126406,estadual,0
3126505,estadual,41
3126604,estadual,0
3126703,estadual,75
3126752,estadual,0
3126802,estadual,0
3126901,estadual,0
3126950,estadual,0
3127008,estadual,0
3127057,estadual,0
3127073,estadual,0
3127107,estadual,65
3127206,estadual,0
3127305,estadual,0
3127339,estadual,45
3127354,estadual,36
3127370,estadual,0
3127388,estadual,8
3127404,estadual,0
3127503,estadual,0
3127602,estadual,0
3127701,estadual,0
3127800,estadual,0
3127909,estadual,0
3128006,estadual,0
3128105,estadual,0
3128204,estadual,0
3128253,estadual,0
3128303,estadual,0
3128402,estadual,0
3128501,estadual,0
3128600,estadual,0
3128709,estadual,0
3128808,estadual,0
3128907,estadual,0
3129004,estadual,0
3129103,estadual,0
3129202,estadual,0
3129301,estadual,0
3129400,estadual,0
3129509,estadual,0
3129608,estadual,0
3129657,estadual,0
3129707,estadual,0
3129806,estadual,0
3129905,estadual,0
3130002,estadual,0
3130051,estadual,229
3130101,estadual,0
3130200,estadual,0
3130309,estadual,0
3130408,estadual,0
3130507,estadual,0
