municipality_code,administrative_dependency,rural_high_school_enrollments
1706001,federal,0
1706100,federal,0
1706258,federal,0
1706506,federal,0
1707009,federal,247
1707108,federal,0
1707207,federal,0
1707306,federal,0
1707405,federal,0
1707553,federal,0
1707652,federal,0
1707702,federal,0
1708205,federal,0
1708304,federal,0
1709005,federal,0
1709302,federal,0
1709500,federal,0
1709807,federal,0
1710508,federal,0
1710706,federal,0
1710904,federal,0
1711100,federal,0
1711506,federal,0
1711803,federal,0
1711902,federal,0
1711951,federal,0
1712009,federal,0
1712157,federal,0
1712405,federal,0
1712454,federal,0
1712504,federal,0
1712702,federal,0
1712801,federal,0
1713205,federal,0
1713304,federal,0
1713601,federal,0
1713700,federal,0
1713957,federal,0
1714203,federal,0
1714302,federal,0
1714880,federal,0
1715002,federal,0
1715101,federal,0
1715150,federal,0
1715259,federal,0
1715507,federal,0
1721000,federal,0
1715705,federal,0
1713809,federal,0
1715754,federal,0
1716109,federal,0
1716208,federal,0
1716307,federal,0
1716505,federal,0
1716604,federal,0
1716653,federal,0
1717008,federal,0
1717206,federal,0
1717503,federal,0
1717800,federal,0
1717909,federal,0
1718006,federal,0
1718204,federal,0
1718303,federal,0
1718402,federal,0
1718451,federal,0
1718501,federal,0
1718550,federal,0
1718659,federal,0
1718709,federal,0
1718758,federal,0
1718808,federal,0
1718840,federal,0
1718865,federal,0
1718881,federal,0
1718899,federal,0
1718907,federal,0
1719004,federal,0
1720002,federal,0
1720101,federal,0
1720150,federal,0
1720200,federal,0
1720259,federal,0
1720309,federal,0
1720499,federal,0
1720655,federal,0
1720804,federal,0
1720853,federal,0
1708254,federal,0
1720903,federal,0
1720937,federal,0
1720978,federal,0
1721109,federal,0
1721208,federal,0
1721257,federal,0
1721307,federal,0
1722081,federal,0
1722107,federal,0
2100055,federal,0
2100105,federal,0
2100154,federal,0
2100204,federal,0
2100303,federal,0
2100402,federal,0
2100436,federal,0
2100477,federal,0
2100501,federal,0
2100550,federal,0
2100600,federal,0
2100709,federal,0
2100808,federal,0
2100832,federal,0
2100873,federal,0
2100907,federal,0
2100956,federal,0
2101004,federal,0
2101103,federal,0
2101202,federal,0
2101251,federal,0
2101301,federal,0
2101350,federal,0
2101400,federal,0
2101509,federal,0
2101608,federal,0
2101707,federal,607
2101772,federal,0
2101731,federal,0
2101806,federal,0
2101905,federal,0
2101939,federal,0
2101970,federal,0
2102002,federal,0
2102036,federal,0
2102077,federal,0
2102101,federal,0
2102150,federal,0
2102200,federal,0
2102309,federal,0
2102325,federal,0
2102358,federal,0
2102374,federal,0
2102408,federal,0
2102507,federal,0
2102556,federal,0
2102606,federal,0
2102705,federal,0
2102754,federal,0
2102804,federal,0
2102903,federal,0
2103000,federal,472
2103109,federal,0
2103125,federal,0
2103158,federal,0
2103174,federal,0
2103208,federal,0
2103257,federal,0
2103307,federal,425
2103406,federal,0
2103505,federal,0
2103554,federal,0
2103604,federal,0
2103703,federal,0
2103752,federal,0
2103802,federal,0
2103901,federal,0
2104008,federal,0
2104057,federal,0
2104073,federal,0
2104081,federal,0
2104099,federal,0
2104107,federal,0
2104206,federal,0
2104305,federal,0
2104404,federal,0
2104503,federal,0
2104552,federal,0
2104602,federal,0
2104628,federal,0
2104651,federal,0
2104677,federal,0
2104701,federal,0
2104800,federal,0
2104909,federal,0
2105005,federal,0
2105104,federal,0
2105153,federal,0
2105203,federal,0
2105302,federal,0
2105351,federal,0
2105401,federal,0
2105427,federal,0
2105450,federal,0
2105476,federal,0
2105500,federal,0
2105609,federal,0
2105658,federal,0
2105708,federal,0
2105807,federal,0
2105948,federal,0
2105906,federal,0
2105922,federal,0
2105963,federal,0
2105989,federal,0
2106003,federal,0
2106102,federal,0
2106201,federal,0
2106300,federal,0
2106326,federal,0
2106359,federal,0
2106375,federal,0
2106409,federal,0
2106508,federal,0
2106607,federal,0
2106631,federal,0
2106672,federal,0
2106706,federal,0
2106755,federal,0
2106805,federal,0
2106904,federal,0
2107001,federal,0
2107100,federal,0
2107209,federal,0
2107258,federal,0
2107308,federal,0
2107357,federal,0
2107407,federal,0
2107456,federal,0
2107506,federal,0
2107605,federal,0
2107704,federal,0
2107803,federal,0
2107902,federal,0
2108009,federal,0
2108058,federal,0
2108108,federal,0
2108207,federal,0
2108256,federal,0
2108306,federal,0
2108405,federal,0
2108454,federal,0
2108504,federal,0
2108603,federal,0
2108702,federal,0
2108801,federal,0
2108900,federal,0
2109007,federal,0
2109056,federal,0
2109106,federal,181
2109205,federal,0
2109239,federal,0
2109270,federal,0
2109304,federal,0
2109403,federal,0
2109452,federal,0
2109502,federal,0
2109551,federal,0
2109601,federal,278
2109700,federal,0
2109759,federal,0
2109809,federal,0
2109908,federal,0
2110005,federal,0
2110039,federal,0
2110104,federal,0
2110203,federal,0
2110237,federal,0
2110278,federal,0
2110302,federal,0
2110401,federal,0
2110500,federal,0
2110609,federal,0
2110658,federal,0
2110708,federal,0
2110807,federal,0
2110856,federal,0
2110906,federal,0
2111003,federal,0
2111029,federal,0
2111052,federal,0
2111078,federal,0
2111102,federal,0
2111201,federal,0
2111250,federal,0
2111300,federal,413
2111409,federal,0
2111508,federal,0
2111532,federal,0
2111573,federal,0
2111607,federal,311
2111631,federal,0
2111672,federal,0
2111706,federal,0
2111722,federal,0
2111748,federal,0
2111763,federal,0
2111789,federal,0
2111805,federal,0
2111904,federal,0
2111953,federal,0
2112001,federal,0
2112100,federal,0
2112209,federal,0
2112233,federal,0
2112274,federal,0
2112308,federal,0
2112407,federal,0
2112456,federal,0
2112506,federal,0
2112605,federal,0
2112704,federal,0
2112803,federal,185
2112852,federal,0
2112902,federal,0
2113009,federal,0
2114007,federal,0
2200053,federal,0
2200103,federal,0
2200202,federal,0
2200251,federal,0
2200277,federal,0
2200301,federal,0
2200400,federal,0
2200459,federal,0
2200509,federal,0
2200608,federal,0
2200707,federal,0
2200806,federal,0
2200905,federal,0
2200954,federal,0
2201002,federal,0
2201051,federal,0
2201101,federal,0
2201150,federal,0
2201176,federal,0
2201200,federal,0
2201309,federal,0
2201408,federal,0
2201507,federal,0
2201556,federal,0
2201572,federal,0
2201606,federal,0
2201705,federal,0
2201739,federal,0
2201770,federal,0
2201804,federal,0
2201903,federal,0
2201919,federal,0
2201929,federal,0
2201945,federal,0
2201960,federal,0
2201988,federal,0
2202000,federal,0
2202026,federal,0
2202059,federal,0
2202075,federal,0
2202083,federal,0
2202091,federal,0
2202109,federal,0
2202117,federal,0
2202133,federal,0
2202174,federal,0
2202208,federal,0
2202251,federal,0
2202307,federal,0
2202406,federal,0
2202455,federal,0
2202505,federal,0
2202539,federal,0
2202554,federal,0
2202604,federal,0
2202653,federal,0
2202703,federal,401
2202711,federal,0
2202729,federal,0
2202737,federal,0
2202752,federal,0
2202778,federal,0
2202802,federal,0
2202851,federal,0
2202901,federal,0
2203008,federal,0
2203107,federal,0
2203206,federal,0
2203230,federal,0
2203271,federal,0
2203255,federal,0
2203305,federal,0
2203354,federal,0
2203404,federal,0
2203453,federal,0
2203420,federal,0
2203503,federal,0
2203602,federal,0
2203701,federal,0
2203750,federal,0
2203800,federal,0
2203859,federal,0
2203909,federal,0
2204006,federal,0
2204105,federal,0
2204154,federal,0
2204204,federal,0
2204303,federal,0
2204352,federal,0
2204402,federal,0
2204501,federal,0
2204550,federal,0
2204600,federal,0
2204659,federal,0
2204709,federal,0
2204808,federal,0
2204907,federal,0
2205003,federal,0
2205102,federal,0
2205151,federal,0
2205201,federal,0
2205250,federal,0
2205276,federal,0
2205300,federal,0
2205359,federal,0
2205409,federal,0
2205458,federal,0
2205508,federal,0
2205516,federal,0
2205524,federal,0
2205532,federal,0
2205557,federal,0
2205573,federal,0
2205565,federal,0
2205581,federal,0
2205599,federal,0
2205540,federal,0
2205607,federal,0
2205706,federal,0
2205805,federal,0
2205854,federal,0
2205904,federal,0
2205953,federal,0
2206001,federal,0
2206050,federal,0
2206100,federal,0
2206209,federal,0
2206308,federal,0
2206357,federal,0
2206407,federal,0
2206506,federal,0
2206605,federal,0
2206654,federal,0
2206670,federal,0
2206696,federal,0
2206704,federal,0
2206720,federal,0
2206753,federal,0
2206803,federal,0
2207959,federal,0
2206902,federal,0
2206951,federal,0
2207009,federal,0
2207108,federal,0
2207207,federal,0
2207306,federal,0
2207355,federal,0
2207405,federal,0
2207504,federal,0
2207553,federal,0
2207603,federal,0
2207702,federal,0
2207751,federal,0
2207777,federal,0
2207793,federal,0
2207801,federal,0
2207850,federal,0
2207900,federal,0
2207934,federal,0
2208007,federal,0
2208106,federal,0
2208205,federal,171
2208304,federal,0
2208403,federal,0
2208502,federal,0
2208551,federal,0
2208601,federal,0
2208650,federal,0
2208700,federal,0
2208809,federal,0
2208858,federal,0
2208874,federal,0
2208908,federal,0
2209005,federal,0
2209104,federal,0
2209153,federal,0
2209203,federal,0
2209302,federal,0
2209377,federal,0
2209351,federal,0
2209401,federal,0
2209450,federal,0
2209500,federal,0
2209559,federal,0
2209609,federal,0
2209658,federal,0
2209708,federal,0
2209757,federal,0
2209807,federal,0
2209856,federal,0
2209872,federal,0
2209906,federal,0
2209955,federal,0
2209971,federal,0
2210003,federal,0
2210052,federal,0
2210102,federal,0
2210201,federal,0
2210300,federal,0
2210359,federal,0
2210375,federal,0
2210383,federal,0
2210391,federal,0
2210409,federal,0
2210508,federal,0
2210607,federal,0
2210623,federal,0
2210631,federal,0
2210656,federal,0
2210706,federal,0
2210805,federal,0
2210904,federal,0
2210938,federal,0
2210953,federal,0
2210979,federal,0
2211001,federal,0
2211100,federal,0
2211209,federal,425
2211308,federal,0
2211357,federal,0
2211407,federal,0
2211506,federal,0
2211605,federal,0
2211704,federal,0
2300101,federal,0
2300150,federal,0
2300200,federal,0
2300309,federal,0
2300408,federal,0
2300507,federal,0
2300606,federal,0
2300705,federal,0
2300754,federal,0
2300804,federal,0
2300903,federal,0
2301000,federal,0
2301109,federal,0
2301208,federal,0
2301257,federal,0
2301307,federal,0
2301406,federal,0
2301505,federal,0
2301604,federal,0
2301703,federal,0
2301802,federal,0
2301851,federal,0
2301901,federal,0
2301950,federal,0
2302008,federal,0
2302057,federal,0
2302107,federal,0
2302206,federal,0
2302305,federal,0
2302404,federal,0
2302503,federal,0
2302602,federal,0
2302701,federal,0
2302800,federal,101
2302909,federal,0
2303006,federal,0
2303105,federal,0
2303204,federal,0
2303303,federal,0
2303402,federal,0
2303501,federal,0
2303600,federal,0
2303659,federal,0
2303709,federal,0
2303808,federal,0
2303907,federal,0
2303931,federal,0
2303956,federal,0
2304004,federal,0
2304103,federal,0
2304202,federal,428
2304236,federal,0
2304251,federal,0
2304269,federal,0
2304277,federal,0
2304285,federal,0
2304301,federal,0
2304350,federal,0
2304400,federal,0
2304459,federal,0
2304509,federal,0
2304608,federal,0
2304657,federal,0
2304707,federal,0
2304806,federal,0
2304905,federal,0
2304954,federal,0
2305001,federal,0
2305100,federal,0
2305209,federal,0
2305233,federal,0
2305266,federal,0
2305308,federal,0
2305332,federal,0
2305357,federal,0
2305407,federal,0
2305506,federal,0
2305605,federal,0
2305654,federal,0
2305704,federal,0
2305803,federal,0
2305902,federal,0
2306009,federal,0
2306108,federal,0
2306207,federal,0
2306256,federal,0
2306306,federal,0
2306405,federal,0
2306504,federal,0
2306553,federal,0
2306603,federal,0
2306702,federal,0
2306801,federal,0
2306900,federal,0
2307007,federal,0
2307106,federal,0
2307205,federal,0
2307254,federal,0
2307304,federal,0
2307403,federal,0
2307502,federal,0
2307601,federal,0
2307635,federal,0
2307650,federal,0
2307700,federal,0
2307809,federal,0
2307908,federal,0
2308005,federal,0
2308104,federal,0
2308203,federal,0
2308302,federal,0
2308351,federal,0
2308377,federal,0
2308401,federal,0
2308500,federal,0
2308609,federal,0
2308708,federal,0
2308807,federal,0
2308906,federal,0
2309003,federal,0
2309102,federal,0
2309201,federal,0
2309300,federal,0
2309409,federal,0
2309458,federal,0
2309508,federal,0
2309607,federal,0
2309706,federal,0
2309805,federal,0
2309904,federal,0
2310001,federal,0
2310100,federal,0
2310209,federal,0
2310258,federal,0
2310308,federal,0
2310407,federal,0
2310506,federal,0
2310605,federal,0
2310704,federal,0
2310803,federal,0
2310852,federal,0
2310902,federal,0
2310951,federal,0
2311009,federal,0
2311108,federal,0
2311207,federal,0
2311231,federal,0
2311264,federal,0
2311306,federal,0
2311355,federal,0
2311405,federal,0
2311504,federal,0
2311603,federal,0
2311702,federal,0
2311801,federal,0
2311900,federal,0
2311959,federal,0
2312205,federal,0
2312007,federal,0
2312106,federal,0
2312304,federal,0
2312403,federal,0
2312502,federal,0
2312601,federal,0
2312700,federal,0
2312809,federal,0
2312908,federal,0
2313005,federal,0
2313104,federal,0
2313203,federal,0
2313252,federal,0
2313302,federal,0
2313351,federal,0
2313401,federal,0
2313500,federal,0
2313559,federal,0
2313609,federal,0
2313708,federal,0
2313757,federal,0
2313807,federal,0
2313906,federal,0
2313955,federal,0
2314003,federal,0
2314102,federal,0
2400109,federal,0
2400208,federal,0
2400307,federal,0
2400406,federal,0
2400505,federal,0
2400604,federal,0
2400703,federal,0
2400802,federal,0
2400901,federal,0
2401008,federal,0
2401107,federal,0
2401206,federal,0
2401404,federal,0
2401453,federal,0
2401503,federal,0
2401602,federal,0
2401651,federal,0
2401701,federal,0
2401800,federal,0
2401859,federal,0
2401909,federal,0
2402006,federal,0
2401305,federal,0
2402105,federal,0
2402204,federal,484
2402303,federal,0
2402402,federal,0
2402501,federal,0
2402600,federal,0
2402709,federal,0
2402808,federal,0
2402907,federal,0
2403004,federal,0
2403103,federal,0
2403202,federal,0
2403301,federal,0
2403400,federal,0
2403509,federal,0
2403608,federal,0
2403707,federal,0
2403756,federal,0
2403806,federal,0
2403905,federal,0
2404002,federal,0
2404101,federal,0
2404200,federal,0
2404309,federal,0
2404408,federal,0
2404507,federal,0
2404606,federal,0
2404705,federal,518
2404804,federal,0
2404853,federal,0
2404903,federal,0
2405009,federal,0
2405108,federal,0
2405207,federal,0
2405306,federal,0
2405405,federal,0
2405504,federal,0
2405603,federal,0
2405702,federal,0
2405801,federal,0
2405900,federal,0
2406007,federal,0
2406106,federal,0
2406155,federal,0
2406205,federal,0
2406304,federal,0
2406403,federal,0
2406502,federal,0
2406601,federal,0
2406700,federal,0
2406809,federal,0
2406908,federal,0
2407005,federal,0
2407104,federal,333
2407203,federal,0
2407252,federal,0
2407302,federal,0
2407401,federal,0
2407500,federal,0
2407609,federal,0
2407708,federal,0
2407807,federal,0
2407906,federal,0
2408003,federal,0
2408102,federal,0
2408201,federal,0
2408300,federal,0
2408409,federal,0
2408508,federal,0
2408607,federal,0
2408706,federal,0
2408805,federal,0
2408904,federal,0
2403251,federal,0
2409100,federal,0
2409209,federal,0
2409308,federal,0
2409407,federal,0
2409506,federal,0
2409605,federal,0
2409704,federal,0
2409803,federal,0
2409902,federal,0
2410009,federal,0
2410108,federal,0
2410207,federal,0
2410256,federal,0
2410405,federal,0
2410504,federal,0
2410603,federal,0
2410702,federal,0
2410801,federal,0
2410900,federal,0
2408953,federal,0
2411007,federal,0
2411106,federal,0
2411205,federal,0
2409332,federal,0
2411403,federal,0
2411429,federal,0
2411502,federal,0
2411601,federal,0
2411700,federal,0
2411809,federal,0
2411908,federal,0
2412005,federal,0
2412104,federal,0
2412203,federal,0
2412302,federal,0
2412401,federal,0
2412500,federal,0
2412559,federal,0
2412609,federal,0
2412708,federal,0
2412807,federal,0
2412906,federal,0
2413003,federal,0
2413102,federal,0
2413201,federal,0
2410306,federal,0
2413300,federal,0
2413359,federal,0
2413409,federal,0
2413508,federal,0
2413557,federal,0
2413607,federal,0
2413706,federal,0
2413805,federal,0
2413904,federal,0
2414001,federal,0
2414100,federal,0
2414159,federal,0
2411056,federal,0
2414209,federal,0
2414308,federal,0
2414407,federal,0
2414456,federal,0
2414506,federal,0
2414605,federal,0
2414704,federal,0
2414753,federal,0
2414803,federal,0
2414902,federal,0
2415008,federal,0
2500106,federal,0
2500205,federal,0
2500304,federal,0
2500403,federal,0
2500502,federal,0
2500536,federal,0
2500577,federal,0
2500601,federal,0
2500734,federal,0
2500775,federal,0
2500809,federal,0
2500908,federal,0
2501005,federal,0
2501104,federal,0
2501153,federal,0
2501203,federal,0
2501302,federal,0
2501351,federal,0
2501401,federal,0
2501500,federal,172
2501534,federal,0
2501609,federal,0
2501575,federal,0
2501708,federal,0
2501807,federal,0
2501906,federal,0
2502003,federal,0
2502052,federal,0
2502102,federal,0
2502151,federal,0
2502201,federal,0
2502300,federal,0
2502409,federal,0
2502508,federal,0
2502706,federal,0
2502805,federal,0
2502904,federal,0
2503001,federal,0
2503100,federal,0
2503209,federal,0
2503308,federal,0
2503407,federal,0
2503506,federal,0
2503555,federal,0
2503605,federal,0
2503704,federal,0
2503753,federal,0
2503803,federal,0
