cod_ibge,regiao,uf,municipio,localizacao,dependencia,num_escolas
2306306,Nordeste ,Ceará ,Itapajé ,Urbana,Total,9336
2306405,Nordeste ,Ceará ,Itapipoca ,Urbana,Total,27060
2306504,Nordeste ,Ceará ,Itapiúna ,Urbana,Total,2509
2306553,Nordeste ,Ceará ,Itarema ,Urbana,Total,6244
2306603,Nordeste ,Ceará ,Itatira ,Urbana,Total,4876
2306702,Nordeste ,Ceará ,Jaguaretama ,Urbana,Total,2450
2306801,Nordeste ,Ceará ,Jaguaribara ,Urbana,Total,2247
2306900,Nordeste ,Ceará ,Jaguaribe ,Urbana,Total,8146
2307007,Nordeste ,Ceará ,Jaguaruana ,Urbana,Total,5392
2307106,Nordeste ,Ceará ,Jardim ,Urbana,Total,3432
2307205,Nordeste ,Ceará ,Jati ,Urbana,Total,1174
2307254,Nordeste ,Ceará ,Jijoca de Jericoacoara ,Urbana,Total,4150
2307304,Nordeste ,Ceará ,Juazeiro do Norte ,Urbana,Total,64848
2307403,Nordeste ,Ceará ,Jucás ,Urbana,Total,2818
2307502,Nordeste ,Ceará ,Lavras da Mangabeira ,Urbana,Total,4613
2307601,Nordeste ,Ceará ,Limoeiro do Norte ,Urbana,Total,11272
2307635,Nordeste ,Ceará ,Madalena ,Urbana,Total,2440
2307650,Nordeste ,Ceará ,Maracanaú ,Urbana,Total,64381
2307700,Nordeste ,Ceará ,Maranguape ,Urbana,Total,20993
2307809,Nordeste ,Ceará ,Marco ,Urbana,Total,5949
2307908,Nordeste ,Ceará ,Martinópole ,Urbana,Total,2378
2308005,Nordeste ,Ceará ,Massapê ,Urbana,Total,8674
2308104,Nordeste ,Ceará ,Mauriti ,Urbana,Total,10274
2308203,Nordeste ,Ceará ,Meruoca ,Urbana,Total,2894
2308302,Nordeste ,Ceará ,Milagres ,Urbana,Total,4710
2308351,Nordeste ,Ceará ,Milhã ,Urbana,Total,2835
2308377,Nordeste ,Ceará ,Miraíma ,Urbana,Total,2194
2308401,Nordeste ,Ceará ,Missão Velha ,Urbana,Total,6005
2308500,Nordeste ,Ceará ,Mombaça ,Urbana,Total,6838
2308609,Nordeste ,Ceará ,Monsenhor Tabosa ,Urbana,Total,3417
2308708,Nordeste ,Ceará ,Morada Nova ,Urbana,Total,10428
2308807,Nordeste ,Ceará ,Moraújo ,Urbana,Total,1604
2308906,Nordeste ,Ceará ,Morrinhos ,Urbana,Total,2259
2309003,Nordeste ,Ceará ,Mucambo ,Urbana,Total,2372
2309102,Nordeste ,Ceará ,Mulungu ,Urbana,Total,1730
2309201,Nordeste ,Ceará ,Nova Olinda ,Urbana,Total,3251
2309300,Nordeste ,Ceará ,Nova Russas ,Urbana,Total,8307
2309409,Nordeste ,Ceará ,Novo Oriente ,Urbana,Total,4353
2309458,Nordeste ,Ceará ,Ocara ,Urbana,Total,3293
2309508,Nordeste ,Ceará ,Orós ,Urbana,Total,4368
2309607,Nordeste ,Ceará ,Pacajus ,Urbana,Total,16520
2309706,Nordeste ,Ceará ,Pacatuba ,Urbana,Total,14538
2309805,Nordeste ,Ceará ,Pacoti ,Urbana,Total,1608
2309904,Nordeste ,Ceará ,Pacujá ,Urbana,Total,2075
2310001,Nordeste ,Ceará ,Palhano ,Urbana,Total,1541
2310100,Nordeste ,Ceará ,Palmácia ,Urbana,Total,1377
2310209,Nordeste ,Ceará ,Paracuru ,Urbana,Total,6373
2310258,Nordeste ,Ceará ,Paraipaba ,Urbana,Total,4579
2310308,Nordeste ,Ceará ,Parambu ,Urbana,Total,3824
2310407,Nordeste ,Ceará ,Paramoti ,Urbana,Total,1596
2310506,Nordeste ,Ceará ,Pedra Branca ,Urbana,Total,6865
2310605,Nordeste ,Ceará ,Penaforte ,Urbana,Total,1949
2310704,Nordeste ,Ceará ,Pentecoste ,Urbana,Total,7476
2310803,Nordeste ,Ceará ,Pereiro ,Urbana,Total,2880
2310852,Nordeste ,Ceará ,Pindoretama ,Urbana,Total,4520
2310902,Nordeste ,Ceará ,Piquet Carneiro ,Urbana,Total,2696
2310951,Nordeste ,Ceará ,Pires Ferreira ,Urbana,Total,1269
2311009,Nordeste ,Ceará ,Poranga ,Urbana,Total,2897
2311108,Nordeste ,Ceará ,Porteiras ,Urbana,Total,2838
2311207,Nordeste ,Ceará ,Potengi ,Urbana,Total,1866
2311231,Nordeste ,Ceará ,Potiretama ,Urbana,Total,1002
2311264,Nordeste ,Ceará ,Quiterianópolis ,Urbana,Total,2869
2311306,Nordeste ,Ceará ,Quixadá ,Urbana,Total,15108
2311355,Nordeste ,Ceará ,Quixelô ,Urbana,Total,2181
2311405,Nordeste ,Ceará ,Quixeramobim ,Urbana,Total,15215
2311504,Nordeste ,Ceará ,Quixeré ,Urbana,Total,3370
2311603,Nordeste ,Ceará ,Redenção ,Urbana,Total,4353
2311702,Nordeste ,Ceará ,Reriutaba ,Urbana,Total,3110
2311801,Nordeste ,Ceará ,Russas ,Urbana,Total,11027
2311900,Nordeste ,Ceará ,Saboeiro ,Urbana,Total,1851
2311959,Nordeste ,Ceará ,Salitre ,Urbana,Total,2935
2312205,Nordeste ,Ceará ,Santa Quitéria ,Urbana,Total,6683
2312007,Nordeste ,Ceará ,Santana do Acaraú ,Urbana,Total,4406
2312106,Nordeste ,Ceará ,Santana do Cariri ,Urbana,Total,2986
2312304,Nordeste ,Ceará ,São Benedito ,Urbana,Total,8617
2312403,Nordeste ,Ceará ,São Gonçalo do Amarante ,Urbana,Total,14781
2312502,Nordeste ,Ceará ,São João do Jaguaribe ,Urbana,Total,750
2312601,Nordeste ,Ceará ,São Luís do Curu ,Urbana,Total,2125
2312700,Nordeste ,Ceará ,Senador Pompeu ,Urbana,Total,4428
2312809,Nordeste ,Ceará ,Senador Sá ,Urbana,Total,1893
2312908,Nordeste ,Ceará ,Sobral ,Urbana,Total,52653
2313005,Nordeste ,Ceará ,Solonópole ,Urbana,Total,4339
2313104,Nordeste ,Ceará ,Tabuleiro do Norte ,Urbana,Total,5030
2313203,Nordeste ,Ceará ,Tamboril ,Urbana,Total,4878
2313252,Nordeste ,Ceará ,Tarrafas ,Urbana,Total,1171
2313302,Nordeste ,Ceará ,Tauá ,Urbana,Total,10125
2313351,Nordeste ,Ceará ,Tejuçuoca ,Urbana,Total,3278
2313401,Nordeste ,Ceará ,Tianguá ,Urbana,Total,19636
2313500,Nordeste ,Ceará ,Trairi ,Urbana,Total,8221
2313559,Nordeste ,Ceará ,Tururu ,Urbana,Total,2258
2313609,Nordeste ,Ceará ,Ubajara ,Urbana,Total,6059
2313708,Nordeste ,Ceará ,Umari ,Urbana,Total,1020
2313757,Nordeste ,Ceará ,Umirim ,Urbana,Total,2874
2313807,Nordeste ,Ceará ,Uruburetama ,Urbana,Total,4536
2313906,Nordeste ,Ceará ,Uruoca ,Urbana,Total,1963
2313955,Nordeste ,Ceará ,Varjota ,Urbana,Total,4566
2314003,Nordeste ,Ceará ,Várzea Alegre ,Urbana,Total,7335
2314102,Nordeste ,Ceará ,Viçosa do Ceará ,Urbana,Total,9223
2400109,Nordeste ,Rio Grande do Norte ,Acari ,Urbana,Total,1823
2400208,Nordeste ,Rio Grande do Norte ,Açu ,Urbana,Total,11197
2400307,Nordeste ,Rio Grande do Norte ,Afonso Bezerra ,Urbana,Total,1747
2400406,Nordeste ,Rio Grande do Norte ,Água Nova ,Urbana,Total,649
2400505,Nordeste ,Rio Grande do Norte ,Alexandria ,Urbana,Total,2766
2400604,Nordeste ,Rio Grande do Norte ,Almino Afonso ,Urbana,Total,913
2400703,Nordeste ,Rio Grande do Norte ,Alto do Rodrigues ,Urbana,Total,2906
2400802,Nordeste ,Rio Grande do Norte ,Angicos ,Urbana,Total,2285
2400901,Nordeste ,Rio Grande do Norte ,Antônio Martins ,Urbana,Total,1025
2401008,Nordeste ,Rio Grande do Norte ,Apodi ,Urbana,Total,5555
2401107,Nordeste ,Rio Grande do Norte ,Areia Branca ,Urbana,Total,4653
2401206,Nordeste ,Rio Grande do Norte ,Arês ,Urbana,Total,2322
2401404,Nordeste ,Rio Grande do Norte ,Baía Formosa ,Urbana,Total,1878
2401453,Nordeste ,Rio Grande do Norte ,Baraúna ,Urbana,Total,5296
2401503,Nordeste ,Rio Grande do Norte ,Barcelona ,Urbana,Total,629
2401602,Nordeste ,Rio Grande do Norte ,Bento Fernandes ,Urbana,Total,986
2401651,Nordeste ,Rio Grande do Norte ,Bodó ,Urbana,Total,447
2401701,Nordeste ,Rio Grande do Norte ,Bom Jesus ,Urbana,Total,2497
2401800,Nordeste ,Rio Grande do Norte ,Brejinho ,Urbana,Total,2684
2401859,Nordeste ,Rio Grande do Norte ,Caiçara do Norte ,Urbana,Total,1270
2401909,Nordeste ,Rio Grande do Norte ,Caiçara do Rio do Vento ,Urbana,Total,812
2402006,Nordeste ,Rio Grande do Norte ,Caicó ,Urbana,Total,14309
2401305,Nordeste ,Rio Grande do Norte ,Campo Grande ,Urbana,Total,1310
2402105,Nordeste ,Rio Grande do Norte ,Campo Redondo ,Urbana,Total,1787
2402204,Nordeste ,Rio Grande do Norte ,Canguaretama ,Urbana,Total,5305
2402303,Nordeste ,Rio Grande do Norte ,Caraúbas ,Urbana,Total,3162
2402402,Nordeste ,Rio Grande do Norte ,Carnaúba dos Dantas ,Urbana,Total,1585
2402501,Nordeste ,Rio Grande do Norte ,Carnaubais ,Urbana,Total,1312
2402600,Nordeste ,Rio Grande do Norte ,Ceará-Mirim ,Urbana,Total,14217
2402709,Nordeste ,Rio Grande do Norte ,Cerro Corá ,Urbana,Total,1682
2402808,Nordeste ,Rio Grande do Norte ,Coronel Ezequiel ,Urbana,Total,816
2402907,Nordeste ,Rio Grande do Norte ,Coronel João Pessoa ,Urbana,Total,511
2403004,Nordeste ,Rio Grande do Norte ,Cruzeta ,Urbana,Total,1481
2403103,Nordeste ,Rio Grande do Norte ,Currais Novos ,Urbana,Total,9113
2403202,Nordeste ,Rio Grande do Norte ,Doutor Severiano ,Urbana,Total,1266
2403301,Nordeste ,Rio Grande do Norte ,Encanto ,Urbana,Total,1075
2403400,Nordeste ,Rio Grande do Norte ,Equador ,Urbana,Total,1261
2403509,Nordeste ,Rio Grande do Norte ,Espírito Santo ,Urbana,Total,1441
2403608,Nordeste ,Rio Grande do Norte ,Extremoz ,Urbana,Total,10171
2403707,Nordeste ,Rio Grande do Norte ,Felipe Guerra ,Urbana,Total,1034
2403756,Nordeste ,Rio Grande do Norte ,Fernando Pedroza ,Urbana,Total,645
2403806,Nordeste ,Rio Grande do Norte ,Florânia ,Urbana,Total,1664
2403905,Nordeste ,Rio Grande do Norte ,Francisco Dantas ,Urbana,Total,459
2404002,Nordeste ,Rio Grande do Norte ,Frutuoso Gomes ,Urbana,Total,777
2404101,Nordeste ,Rio Grande do Norte ,Galinhos ,Urbana,Total,504
2404200,Nordeste ,Rio Grande do Norte ,Goianinha ,Urbana,Total,6664
2404309,Nordeste ,Rio Grande do Norte ,Governador Dix-Sept Rosado ,Urbana,Total,1888
2404408,Nordeste ,Rio Grande do Norte ,Grossos ,Urbana,Total,1626
2404507,Nordeste ,Rio Grande do Norte ,Guamaré ,Urbana,Total,2038
2404606,Nordeste ,Rio Grande do Norte ,Ielmo Marinho ,Urbana,Total,1126
2404705,Nordeste ,Rio Grande do Norte ,Ipanguaçu ,Urbana,Total,1450
2404804,Nordeste ,Rio Grande do Norte ,Ipueira ,Urbana,Total,417
2404853,Nordeste ,Rio Grande do Norte ,Itajá ,Urbana,Total,1576
2404903,Nordeste ,Rio Grande do Norte ,Itaú ,Urbana,Total,1110
2405009,Nordeste ,Rio Grande do Norte ,Jaçanã ,Urbana,Total,1538
2405108,Nordeste ,Rio Grande do Norte ,Jandaíra ,Urbana,Total,1431
2405207,Nordeste ,Rio Grande do Norte ,Janduís ,Urbana,Total,1133
2405306,Nordeste ,Rio Grande do Norte ,Januário Cicco ,Urbana,Total,1210
2405405,Nordeste ,Rio Grande do Norte ,Japi ,Urbana,Total,1209
2405504,Nordeste ,Rio Grande do Norte ,Jardim de Angicos ,Urbana,Total,554
2405603,Nordeste ,Rio Grande do Norte ,Jardim de Piranhas ,Urbana,Total,2812
2405702,Nordeste ,Rio Grande do Norte ,Jardim do Seridó ,Urbana,Total,1869
2405801,Nordeste ,Rio Grande do Norte ,João Câmara ,Urbana,Total,8320
2405900,Nordeste ,Rio Grande do Norte ,João Dias ,Urbana,Total,420
2406007,Nordeste ,Rio Grande do Norte ,José da Penha ,Urbana,Total,894
2406106,Nordeste ,Rio Grande do Norte ,Jucurutu ,Urbana,Total,3041
2406155,Nordeste ,Rio Grande do Norte ,Jundiá ,Urbana,Total,359
2406205,Nordeste ,Rio Grande do Norte ,Lagoa d'Anta ,Urbana,Total,1369
2406304,Nordeste ,Rio Grande do Norte ,Lagoa de Pedras ,Urbana,Total,916
2406403,Nordeste ,Rio Grande do Norte ,Lagoa de Velhos ,Urbana,Total,589
2406502,Nordeste ,Rio Grande do Norte ,Lagoa Nova ,Urbana,Total,2741
2406601,Nordeste ,Rio Grande do Norte ,Lagoa Salgada ,Urbana,Total,1854
2406700,Nordeste ,Rio Grande do Norte ,Lajes ,Urbana,Total,2471
2406809,Nordeste ,Rio Grande do Norte ,Lajes Pintadas ,Urbana,Total,785
2406908,Nordeste ,Rio Grande do Norte ,Lucrécia ,Urbana,Total,736
2407005,Nordeste ,Rio Grande do Norte ,Luís Gomes ,Urbana,Total,1907
2407104,Nordeste ,Rio Grande do Norte ,Macaíba ,Urbana,Total,10887
2407203,Nordeste ,Rio Grande do Norte ,Macau ,Urbana,Total,5683
2407252,Nordeste ,Rio Grande do Norte ,Major Sales ,Urbana,Total,923
2407302,Nordeste ,Rio Grande do Norte ,Marcelino Vieira ,Urbana,Total,1426
2407401,Nordeste ,Rio Grande do Norte ,Martins ,Urbana,Total,1315
2407500,Nordeste ,Rio Grande do Norte ,Maxaranguape ,Urbana,Total,1155
2407609,Nordeste ,Rio Grande do Norte ,Messias Targino ,Urbana,Total,838
2407708,Nordeste ,Rio Grande do Norte ,Montanhas ,Urbana,Total,2713
2407807,Nordeste ,Rio Grande do Norte ,Monte Alegre ,Urbana,Total,3673
2407906,Nordeste ,Rio Grande do Norte ,Monte das Gameleiras ,Urbana,Total,626
2408003,Nordeste ,Rio Grande do Norte ,Mossoró ,Urbana,Total,66501
2408102,Nordeste ,Rio Grande do Norte ,Natal ,Urbana,Total,166829
2408201,Nordeste ,Rio Grande do Norte ,Nísia Floresta ,Urbana,Total,3511
2408300,Nordeste ,Rio Grande do Norte ,Nova Cruz ,Urbana,Total,7656
2408409,Nordeste ,Rio Grande do Norte ,Olho d'Água do Borges ,Urbana,Total,695
2408508,Nordeste ,Rio Grande do Norte ,Ouro Branco ,Urbana,Total,934
2408607,Nordeste ,Rio Grande do Norte ,Paraná ,Urbana,Total,377
2408706,Nordeste ,Rio Grande do Norte ,Paraú ,Urbana,Total,801
2408805,Nordeste ,Rio Grande do Norte ,Parazinho ,Urbana,Total,1325
2408904,Nordeste ,Rio Grande do Norte ,Parelhas ,Urbana,Total,5196
2403251,Nordeste ,Rio Grande do Norte ,Parnamirim ,Urbana,Total,53992
2409100,Nordeste ,Rio Grande do Norte ,Passa e Fica ,Urbana,Total,2510
2409209,Nordeste ,Rio Grande do Norte ,Passagem ,Urbana,Total,626
2409308,Nordeste ,Rio Grande do Norte ,Patu ,Urbana,Total,2408
2409407,Nordeste ,Rio Grande do Norte ,Pau dos Ferros ,Urbana,Total,7490
2409506,Nordeste ,Rio Grande do Norte ,Pedra Grande ,Urbana,Total,626
2409605,Nordeste ,Rio Grande do Norte ,Pedra Preta ,Urbana,Total,457
2409704,Nordeste ,Rio Grande do Norte ,Pedro Avelino ,Urbana,Total,1198
2409803,Nordeste ,Rio Grande do Norte ,Pedro Velho ,Urbana,Total,2918
2409902,Nordeste ,Rio Grande do Norte ,Pendências ,Urbana,Total,2314
2410009,Nordeste ,Rio Grande do Norte ,Pilões ,Urbana,Total,605
2410108,Nordeste ,Rio Grande do Norte ,Poço Branco ,Urbana,Total,2169
2410207,Nordeste ,Rio Grande do Norte ,Portalegre ,Urbana,Total,1308
2410256,Nordeste ,Rio Grande do Norte ,Porto do Mangue ,Urbana,Total,833
2410405,Nordeste ,Rio Grande do Norte ,Pureza ,Urbana,Total,1452
2410504,Nordeste ,Rio Grande do Norte ,Rafael Fernandes ,Urbana,Total,887
2410603,Nordeste ,Rio Grande do Norte ,Rafael Godeiro ,Urbana,Total,668
2410702,Nordeste ,Rio Grande do Norte ,Riacho da Cruz ,Urbana,Total,627
2410801,Nordeste ,Rio Grande do Norte ,Riacho de Santana ,Urbana,Total,632
2410900,Nordeste ,Rio Grande do Norte ,Riachuelo ,Urbana,Total,1472
2408953,Nordeste ,Rio Grande do Norte ,Rio do Fogo ,Urbana,Total,1188
2411007,Nordeste ,Rio Grande do Norte ,Rodolfo Fernandes ,Urbana,Total,944
2411106,Nordeste ,Rio Grande do Norte ,Ruy Barbosa ,Urbana,Total,608
2411205,Nordeste ,Rio Grande do Norte ,Santa Cruz ,Urbana,Total,8991
2409332,Nordeste ,Rio Grande do Norte ,Santa Maria ,Urbana,Total,1106
2411403,Nordeste ,Rio Grande do Norte ,Santana do Matos ,Urbana,Total,1607
2411429,Nordeste ,Rio Grande do Norte ,Santana do Seridó ,Urbana,Total,454
2411502,Nordeste ,Rio Grande do Norte ,Santo Antônio ,Urbana,Total,4229
2411601,Nordeste ,Rio Grande do Norte ,São Bento do Norte ,Urbana,Total,968
2411700,Nordeste ,Rio Grande do Norte ,São Bento do Trairí ,Urbana,Total,834
2411809,Nordeste ,Rio Grande do Norte ,São Fernando ,Urbana,Total,584
2411908,Nordeste ,Rio Grande do Norte ,São Francisco do Oeste ,Urbana,Total,866
2412005,Nordeste ,Rio Grande do Norte ,São Gonçalo do Amarante ,Urbana,Total,22850
2412104,Nordeste ,Rio Grande do Norte ,São João do Sabugi ,Urbana,Total,1115
2412203,Nordeste ,Rio Grande do Norte ,São José de Mipibu ,Urbana,Total,6393
2412302,Nordeste ,Rio Grande do Norte ,São José do Campestre ,Urbana,Total,3459
2412401,Nordeste ,Rio Grande do Norte ,São José do Seridó ,Urbana,Total,886
2412500,Nordeste ,Rio Grande do Norte ,São Miguel ,Urbana,Total,4228
2412559,Nordeste ,Rio Grande do Norte ,São Miguel do Gostoso ,Urbana,Total,2177
2412609,Nordeste ,Rio Grande do Norte ,São Paulo do Potengi ,Urbana,Total,5622
2412708,Nordeste ,Rio Grande do Norte ,São Pedro ,Urbana,Total,1108
2412807,Nordeste ,Rio Grande do Norte ,São Rafael ,Urbana,Total,1402
2412906,Nordeste ,Rio Grande do Norte ,São Tomé ,Urbana,Total,1995
2413003,Nordeste ,Rio Grande do Norte ,São Vicente ,Urbana,Total,974
2413102,Nordeste ,Rio Grande do Norte ,Senador Elói de Souza ,Urbana,Total,1011
2413201,Nordeste ,Rio Grande do Norte ,Senador Georgino Avelino ,Urbana,Total,1060
2410306,Nordeste ,Rio Grande do Norte ,Serra Caiada ,Urbana,Total,2331
2413300,Nordeste ,Rio Grande do Norte ,Serra de São Bento ,Urbana,Total,1127
2413359,Nordeste ,Rio Grande do Norte ,Serra do Mel ,Urbana,Total,2341
2413409,Nordeste ,Rio Grande do Norte ,Serra Negra do Norte ,Urbana,Total,1183
2413508,Nordeste ,Rio Grande do Norte ,Serrinha ,Urbana,Total,848
2413557,Nordeste ,Rio Grande do Norte ,Serrinha dos Pintos ,Urbana,Total,919
2413607,Nordeste ,Rio Grande do Norte ,Severiano Melo ,Urbana,Total,899
2413706,Nordeste ,Rio Grande do Norte ,Sítio Novo ,Urbana,Total,652
2413805,Nordeste ,Rio Grande do Norte ,Taboleiro Grande ,Urbana,Total,513
2413904,Nordeste ,Rio Grande do Norte ,Taipu ,Urbana,Total,1573
2414001,Nordeste ,Rio Grande do Norte ,Tangará ,Urbana,Total,2759
2414100,Nordeste ,Rio Grande do Norte ,Tenente Ananias ,Urbana,Total,2046
2414159,Nordeste ,Rio Grande do Norte ,Tenente Laurentino Cruz ,Urbana,Total,1516
2411056,Nordeste ,Rio Grande do Norte ,Tibau ,Urbana,Total,1388
2414209,Nordeste ,Rio Grande do Norte ,Tibau do Sul ,Urbana,Total,2492
2414308,Nordeste ,Rio Grande do Norte ,Timbaúba dos Batistas ,Urbana,Total,418
2414407,Nordeste ,Rio Grande do Norte ,Touros ,Urbana,Total,4794
2414456,Nordeste ,Rio Grande do Norte ,Triunfo Potiguar ,Urbana,Total,774
2414506,Nordeste ,Rio Grande do Norte ,Umarizal ,Urbana,Total,1861
2414605,Nordeste ,Rio Grande do Norte ,Upanema ,Urbana,Total,2054
2414704,Nordeste ,Rio Grande do Norte ,Várzea ,Urbana,Total,1228
2414753,Nordeste ,Rio Grande do Norte ,Venha-Ver ,Urbana,Total,573
2414803,Nordeste ,Rio Grande do Norte ,Vera Cruz ,Urbana,Total,1622
2414902,Nordeste ,Rio Grande do Norte ,Viçosa ,Urbana,Total,421
2415008,Nordeste ,Rio Grande do Norte ,Vila Flor ,Urbana,Total,923
2500106,Nordeste ,Paraíba ,Água Branca ,Urbana,Total,1715
2500205,Nordeste ,Paraíba ,Aguiar ,Urbana,Total,1192
2500304,Nordeste ,Paraíba ,Alagoa Grande ,Urbana,Total,4856
2500403,Nordeste ,Paraíba ,Alagoa Nova ,Urbana,Total,3952
2500502,Nordeste ,Paraíba ,Alagoinha ,Urbana,Total,3006
2500536,Nordeste ,Paraíba ,Alcantil ,Urbana,Total,929
2500577,Nordeste ,Paraíba ,Algodão de Jandaíra ,Urbana,Total,744
2500601,Nordeste ,Paraíba ,Alhandra ,Urbana,Total,4944
2500734,Nordeste ,Paraíba ,Amparo ,Urbana,Total,474
2500775,Nordeste ,Paraíba ,Aparecida ,Urbana,Total,1449
2500809,Nordeste ,Paraíba ,Araçagi ,Urbana,Total,2605
2500908,Nordeste ,Paraíba ,Arara ,Urbana,Total,2881
2501005,Nordeste ,Paraíba ,Araruna ,Urbana,Total,3166
2501104,Nordeste ,Paraíba ,Areia ,Urbana,Total,4209
2501153,Nordeste ,Paraíba ,Areia de Baraúnas ,Urbana,Total,338
2501203,Nordeste ,Paraíba ,Areial ,Urbana,Total,1722
2501302,Nordeste ,Paraíba ,Aroeiras ,Urbana,Total,2803
2501351,Nordeste ,Paraíba ,Assunção ,Urbana,Total,1073
2501401,Nordeste ,Paraíba ,Baía da Traição ,Urbana,Total,1147
2501500,Nordeste ,Paraíba ,Bananeiras ,Urbana,Total,2426
2501534,Nordeste ,Paraíba ,Baraúna ,Urbana,Total,1174
2501609,Nordeste ,Paraíba ,Barra de Santa Rosa ,Urbana,Total,2722
2501575,Nordeste ,Paraíba ,Barra de Santana ,Urbana,Total,928
2501708,Nordeste ,Paraíba ,Barra de São Miguel ,Urbana,Total,1115
2501807,Nordeste ,Paraíba ,Bayeux ,Urbana,Total,19468
2501906,Nordeste ,Paraíba ,Belém ,Urbana,Total,3393
2502003,Nordeste ,Paraíba ,Belém do Brejo do Cruz ,Urbana,Total,1644
2502052,Nordeste ,Paraíba ,Bernardino Batista ,Urbana,Total,1322
2502102,Nordeste ,Paraíba ,Boa Ventura ,Urbana,Total,979
2502151,Nordeste ,Paraíba ,Boa Vista ,Urbana,Total,1162
2502201,Nordeste ,Paraíba ,Bom Jesus ,Urbana,Total,649
2502300,Nordeste ,Paraíba ,Bom Sucesso ,Urbana,Total,747
2502409,Nordeste ,Paraíba ,Bonito de Santa Fé ,Urbana,Total,2003
2502508,Nordeste ,Paraíba ,Boqueirão ,Urbana,Total,3619
2502706,Nordeste ,Paraíba ,Borborema ,Urbana,Total,1242
2502805,Nordeste ,Paraíba ,Brejo do Cruz ,Urbana,Total,3624
2502904,Nordeste ,Paraíba ,Brejo dos Santos ,Urbana,Total,1216
2503001,Nordeste ,Paraíba ,Caaporã ,Urbana,Total,4300
2503100,Nordeste ,Paraíba ,Cabaceiras ,Urbana,Total,965
2503209,Nordeste ,Paraíba ,Cabedelo ,Urbana,Total,12604
2503308,Nordeste ,Paraíba ,Cachoeira dos Índios ,Urbana,Total,1572
2503407,Nordeste ,Paraíba ,Cacimba de Areia ,Urbana,Total,557
2503506,Nordeste ,Paraíba ,Cacimba de Dentro ,Urbana,Total,2870
2503555,Nordeste ,Paraíba ,Cacimbas ,Urbana,Total,938
2503605,Nordeste ,Paraíba ,Caiçara ,Urbana,Total,1540
2503704,Nordeste ,Paraíba ,Cajazeiras ,Urbana,Total,14897
2503753,Nordeste ,Paraíba ,Cajazeirinhas ,Urbana,Total,619
2503803,Nordeste ,Paraíba ,Caldas Brandão ,Urbana,Total,1548
2503902,Nordeste ,Paraíba ,Camalaú ,Urbana,Total,1254
2504009,Nordeste ,Paraíba ,Campina Grande ,Urbana,Total,85644
2504033,Nordeste ,Paraíba ,Capim ,Urbana,Total,1598
2504074,Nordeste ,Paraíba ,Caraúbas ,Urbana,Total,618
2504108,Nordeste ,Paraíba ,Carrapateira ,Urbana,Total,697
2504157,Nordeste ,Paraíba ,Casserengue ,Urbana,Total,1304
2504207,Nordeste ,Paraíba ,Catingueira ,Urbana,Total,993
2504306,Nordeste ,Paraíba ,Catolé do Rocha ,Urbana,Total,6876
2504355,Nordeste ,Paraíba ,Caturité ,Urbana,Total,978
2504405,Nordeste ,Paraíba ,Conceição ,Urbana,Total,3824
2504504,Nordeste ,Paraíba ,Condado ,Urbana,Total,1345
2504603,Nordeste ,Paraíba ,Conde ,Urbana,Total,7072
2504702,Nordeste ,Paraíba ,Congo ,Urbana,Total,1096
2504801,Nordeste ,Paraíba ,Coremas ,Urbana,Total,2578
2504850,Nordeste ,Paraíba ,Coxixola ,Urbana,Total,335
2504900,Nordeste ,Paraíba ,Cruz do Espírito Santo ,Urbana,Total,2653
2505006,Nordeste ,Paraíba ,Cubati ,Urbana,Total,2002
2505105,Nordeste ,Paraíba ,Cuité ,Urbana,Total,3710
2505238,Nordeste ,Paraíba ,Cuité de Mamanguape ,Urbana,Total,1059
2505204,Nordeste ,Paraíba ,Cuitegi ,Urbana,Total,1486
2505279,Nordeste ,Paraíba ,Curral de Cima ,Urbana,Total,711
2505303,Nordeste ,Paraíba ,Curral Velho ,Urbana,Total,535
2505352,Nordeste ,Paraíba ,Damião ,Urbana,Total,1129
2505402,Nordeste ,Paraíba ,Desterro ,Urbana,Total,1661
2505600,Nordeste ,Paraíba ,Diamante ,Urbana,Total,1013
2505709,Nordeste ,Paraíba ,Dona Inês ,Urbana,Total,1874
2505808,Nordeste ,Paraíba ,Duas Estradas ,Urbana,Total,922
2505907,Nordeste ,Paraíba ,Emas ,Urbana,Total,683
2506004,Nordeste ,Paraíba ,Esperança ,Urbana,Total,7167
2506103,Nordeste ,Paraíba ,Fagundes ,Urbana,Total,2094
2506202,Nordeste ,Paraíba ,Frei Martinho ,Urbana,Total,476
2506251,Nordeste ,Paraíba ,Gado Bravo ,Urbana,Total,1304
2506301,Nordeste ,Paraíba ,Guarabira ,Urbana,Total,14304
2506400,Nordeste ,Paraíba ,Gurinhém ,Urbana,Total,2091
2506509,Nordeste ,Paraíba ,Gurjão ,Urbana,Total,942
2506608,Nordeste ,Paraíba ,Ibiara ,Urbana,Total,1101
2502607,Nordeste ,Paraíba ,Igaracy ,Urbana,Total,1204
2506707,Nordeste ,Paraíba ,Imaculada ,Urbana,Total,1563
2506806,Nordeste ,Paraíba ,Ingá ,Urbana,Total,3602
2506905,Nordeste ,Paraíba ,Itabaiana ,Urbana,Total,5456
2507002,Nordeste ,Paraíba ,Itaporanga ,Urbana,Total,5620
2507101,Nordeste ,Paraíba ,Itapororoca ,Urbana,Total,4225
2507200,Nordeste ,Paraíba ,Itatuba ,Urbana,Total,2054
