"Tabela 6873 - Número de estabelecimentos agropecuários e Número de tratores, implementos e máquinas existentes nos estabelecimentos agropecuários, por tipologia, tratores, implementos e máquinas existentes no estabelecimento agropecuário, condição do produtor em relação às terras e grupos de atividade econômica - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Ano x Tipologia x Tratores, implementos e máquinas existentes no estabelecimento agropecuário"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"2017"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Total"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Tratores"
"2900603";"Aiquara (BA)";"Total";"1";"Total";"10"
"2900702";"Alagoinhas (BA)";"Total";"1";"Total";"73"
"2900801";"Alcobaça (BA)";"Total";"1";"Total";"128"
"2900900";"Almadina (BA)";"Total";"1";"Total";"7"
"2901007";"Amargosa (BA)";"Total";"1";"Total";"34"
"2901106";"Amélia Rodrigues (BA)";"Total";"1";"Total";"41"
"2901155";"América Dourada (BA)";"Total";"1";"Total";"201"
"2901205";"Anagé (BA)";"Total";"1";"Total";"42"
"2901304";"Andaraí (BA)";"Total";"1";"Total";"19"
"2901353";"Andorinha (BA)";"Total";"1";"Total";"34"
"2901403";"Angical (BA)";"Total";"1";"Total";"95"
"2901502";"Anguera (BA)";"Total";"1";"Total";"45"
"2901601";"Antas (BA)";"Total";"1";"Total";"72"
"2901700";"Antônio Cardoso (BA)";"Total";"1";"Total";"15"
"2901809";"Antônio Gonçalves (BA)";"Total";"1";"Total";"8"
"2901908";"Aporá (BA)";"Total";"1";"Total";"43"
"2901957";"Apuarema (BA)";"Total";"1";"Total";"2"
"2902005";"Aracatu (BA)";"Total";"1";"Total";"34"
"2902054";"Araçás (BA)";"Total";"1";"Total";"41"
"2902104";"Araci (BA)";"Total";"1";"Total";"69"
"2902203";"Aramari (BA)";"Total";"1";"Total";"14"
"2902252";"Arataca (BA)";"Total";"1";"Total";"7"
"2902302";"Aratuípe (BA)";"Total";"1";"Total";"57"
"2902401";"Aurelino Leal (BA)";"Total";"1";"Total";"11"
"2902500";"Baianópolis (BA)";"Total";"1";"Total";"96"
"2902609";"Baixa Grande (BA)";"Total";"1";"Total";"75"
"2902658";"Banzaê (BA)";"Total";"1";"Total";"18"
"2902708";"Barra (BA)";"Total";"1";"Total";"26"
"2902807";"Barra da Estiva (BA)";"Total";"1";"Total";"96"
"2902906";"Barra do Choça (BA)";"Total";"1";"Total";"291"
"2903003";"Barra do Mendes (BA)";"Total";"1";"Total";"76"
"2903102";"Barra do Rocha (BA)";"Total";"1";"Total";"15"
"2903201";"Barreiras (BA)";"Total";"1";"Total";"261"
"2903235";"Barro Alto (BA)";"Total";"1";"Total";"174"
"2903276";"Barrocas (BA)";"Total";"1";"Total";"11"
"2903300";"Barro Preto (BA)";"Total";"1";"Total";"4"
"2903409";"Belmonte (BA)";"Total";"1";"Total";"106"
"2903508";"Belo Campo (BA)";"Total";"1";"Total";"23"
"2903607";"Biritinga (BA)";"Total";"1";"Total";"37"
"2903706";"Boa Nova (BA)";"Total";"1";"Total";"27"
"2903805";"Boa Vista do Tupim (BA)";"Total";"1";"Total";"53"
"2903904";"Bom Jesus da Lapa (BA)";"Total";"1";"Total";"91"
"2903953";"Bom Jesus da Serra (BA)";"Total";"1";"Total";"6"
"2904001";"Boninal (BA)";"Total";"1";"Total";"14"
"2904050";"Bonito (BA)";"Total";"1";"Total";"56"
"2904100";"Boquira (BA)";"Total";"1";"Total";"19"
"2904209";"Botuporã (BA)";"Total";"1";"Total";"14"
"2904308";"Brejões (BA)";"Total";"1";"Total";"38"
"2904407";"Brejolândia (BA)";"Total";"1";"Total";"37"
"2904506";"Brotas de Macaúbas (BA)";"Total";"1";"Total";"5"
"2904605";"Brumado (BA)";"Total";"1";"Total";"169"
"2904704";"Buerarema (BA)";"Total";"1";"Total";"2"
"2904753";"Buritirama (BA)";"Total";"1";"Total";"5"
"2904803";"Caatiba (BA)";"Total";"1";"Total";"9"
"2904852";"Cabaceiras do Paraguaçu (BA)";"Total";"1";"Total";"48"
"2904902";"Cachoeira (BA)";"Total";"1";"Total";"22"
"2905008";"Caculé (BA)";"Total";"1";"Total";"33"
"2905107";"Caém (BA)";"Total";"1";"Total";"37"
"2905156";"Caetanos (BA)";"Total";"1";"Total";"9"
"2905206";"Caetité (BA)";"Total";"1";"Total";"49"
"2905305";"Cafarnaum (BA)";"Total";"1";"Total";"174"
"2905404";"Cairu (BA)";"Total";"1";"Total";"2"
"2905503";"Caldeirão Grande (BA)";"Total";"1";"Total";"18"
"2905602";"Camacan (BA)";"Total";"1";"Total";"23"
"2905701";"Camaçari (BA)";"Total";"1";"Total";"52"
"2905800";"Camamu (BA)";"Total";"1";"Total";"31"
"2905909";"Campo Alegre de Lourdes (BA)";"Total";"1";"Total";"21"
"2906006";"Campo Formoso (BA)";"Total";"1";"Total";"62"
"2906105";"Canápolis (BA)";"Total";"1";"Total";"6"
"2906204";"Canarana (BA)";"Total";"1";"Total";"318"
"2906303";"Canavieiras (BA)";"Total";"1";"Total";"111"
"2906402";"Candeal (BA)";"Total";"1";"Total";"15"
"2906501";"Candeias (BA)";"Total";"1";"Total";"24"
"2906600";"Candiba (BA)";"Total";"1";"Total";"56"
"2906709";"Cândido Sales (BA)";"Total";"1";"Total";"45"
"2906808";"Cansanção (BA)";"Total";"1";"Total";"29"
"2906824";"Canudos (BA)";"Total";"1";"Total";"30"
"2906857";"Capela do Alto Alegre (BA)";"Total";"1";"Total";"40"
"2906873";"Capim Grosso (BA)";"Total";"1";"Total";"16"
"2906899";"Caraíbas (BA)";"Total";"1";"Total";"43"
"2906907";"Caravelas (BA)";"Total";"1";"Total";"119"
"2907004";"Cardeal da Silva (BA)";"Total";"1";"Total";"12"
"2907103";"Carinhanha (BA)";"Total";"1";"Total";"82"
"2907202";"Casa Nova (BA)";"Total";"1";"Total";"224"
"2907301";"Castro Alves (BA)";"Total";"1";"Total";"37"
"2907400";"Catolândia (BA)";"Total";"1";"Total";"23"
"2907509";"Catu (BA)";"Total";"1";"Total";"28"
"2907558";"Caturama (BA)";"Total";"1";"Total";"25"
"2907608";"Central (BA)";"Total";"1";"Total";"119"
"2907707";"Chorrochó (BA)";"Total";"1";"Total";"40"
"2907806";"Cícero Dantas (BA)";"Total";"1";"Total";"142"
"2907905";"Cipó (BA)";"Total";"1";"Total";"20"
"2908002";"Coaraci (BA)";"Total";"1";"Total";"5"
"2908101";"Cocos (BA)";"Total";"1";"Total";"87"
"2908200";"Conceição da Feira (BA)";"Total";"1";"Total";"20"
"2908309";"Conceição do Almeida (BA)";"Total";"1";"Total";"25"
"2908408";"Conceição do Coité (BA)";"Total";"1";"Total";"71"
"2908507";"Conceição do Jacuípe (BA)";"Total";"1";"Total";"34"
"2908606";"Conde (BA)";"Total";"1";"Total";"85"
"2908705";"Condeúba (BA)";"Total";"1";"Total";"41"
"2908804";"Contendas do Sincorá (BA)";"Total";"1";"Total";"19"
"2908903";"Coração de Maria (BA)";"Total";"1";"Total";"124"
"2909000";"Cordeiros (BA)";"Total";"1";"Total";"19"
"2909109";"Coribe (BA)";"Total";"1";"Total";"50"
"2909208";"Coronel João Sá (BA)";"Total";"1";"Total";"141"
"2909307";"Correntina (BA)";"Total";"1";"Total";"132"
"2909406";"Cotegipe (BA)";"Total";"1";"Total";"64"
"2909505";"Cravolândia (BA)";"Total";"1";"Total";"4"
"2909604";"Crisópolis (BA)";"Total";"1";"Total";"88"
"2909703";"Cristópolis (BA)";"Total";"1";"Total";"53"
"2909802";"Cruz das Almas (BA)";"Total";"1";"Total";"36"
"2909901";"Curaçá (BA)";"Total";"1";"Total";"69"
"2910008";"Dário Meira (BA)";"Total";"1";"Total";"20"
"2910057";"Dias d'Ávila (BA)";"Total";"1";"Total";"3"
"2910107";"Dom Basílio (BA)";"Total";"1";"Total";"31"
"2910206";"Dom Macedo Costa (BA)";"Total";"1";"Total";"7"
"2910305";"Elísio Medrado (BA)";"Total";"1";"Total";"9"
"2910404";"Encruzilhada (BA)";"Total";"1";"Total";"183"
"2910503";"Entre Rios (BA)";"Total";"1";"Total";"66"
"2910602";"Esplanada (BA)";"Total";"1";"Total";"143"
"2910701";"Euclides da Cunha (BA)";"Total";"1";"Total";"261"
"2910727";"Eunápolis (BA)";"Total";"1";"Total";"111"
"2910750";"Fátima (BA)";"Total";"1";"Total";"238"
"2910776";"Feira da Mata (BA)";"Total";"1";"Total";"45"
"2910800";"Feira de Santana (BA)";"Total";"1";"Total";"96"
"2910859";"Filadélfia (BA)";"Total";"1";"Total";"40"
"2910909";"Firmino Alves (BA)";"Total";"1";"Total";"8"
"2911006";"Floresta Azul (BA)";"Total";"1";"Total";"10"
"2911105";"Formosa do Rio Preto (BA)";"Total";"1";"Total";"262"
"2911204";"Gandu (BA)";"Total";"1";"Total";"6"
"2911253";"Gavião (BA)";"Total";"1";"Total";"12"
"2911303";"Gentio do Ouro (BA)";"Total";"1";"Total";"4"
"2911402";"Glória (BA)";"Total";"1";"Total";"37"
"2911501";"Gongogi (BA)";"Total";"1";"Total";"16"
"2911600";"Governador Mangabeira (BA)";"Total";"1";"Total";"26"
"2911659";"Guajeru (BA)";"Total";"1";"Total";"8"
"2911709";"Guanambi (BA)";"Total";"1";"Total";"109"
"2911808";"Guaratinga (BA)";"Total";"1";"Total";"97"
"2911857";"Heliópolis (BA)";"Total";"1";"Total";"64"
"2911907";"Iaçu (BA)";"Total";"1";"Total";"76"
"2912004";"Ibiassucê (BA)";"Total";"1";"Total";"19"
"2912103";"Ibicaraí (BA)";"Total";"1";"Total";"5"
"2912202";"Ibicoara (BA)";"Total";"1";"Total";"100"
"2912301";"Ibicuí (BA)";"Total";"1";"Total";"40"
"2912400";"Ibipeba (BA)";"Total";"1";"Total";"165"
"2912509";"Ibipitanga (BA)";"Total";"1";"Total";"10"
"2912608";"Ibiquera (BA)";"Total";"1";"Total";"13"
"2912707";"Ibirapitanga (BA)";"Total";"1";"Total";"7"
"2912806";"Ibirapuã (BA)";"Total";"1";"Total";"66"
"2912905";"Ibirataia (BA)";"Total";"1";"Total";"9"
"2913002";"Ibitiara (BA)";"Total";"1";"Total";"13"
"2913101";"Ibititá (BA)";"Total";"1";"Total";"362"
"2913200";"Ibotirama (BA)";"Total";"1";"Total";"31"
"2913309";"Ichu (BA)";"Total";"1";"Total";"1"
"2913408";"Igaporã (BA)";"Total";"1";"Total";"30"
"2913457";"Igrapiúna (BA)";"Total";"1";"Total";"19"
"2913507";"Iguaí (BA)";"Total";"1";"Total";"28"
"2913606";"Ilhéus (BA)";"Total";"1";"Total";"70"
"2913705";"Inhambupe (BA)";"Total";"1";"Total";"112"
"2913804";"Ipecaetá (BA)";"Total";"1";"Total";"27"
"2913903";"Ipiaú (BA)";"Total";"1";"Total";"20"
"2914000";"Ipirá (BA)";"Total";"1";"Total";"85"
"2914109";"Ipupiara (BA)";"Total";"1";"Total";"5"
"2914208";"Irajuba (BA)";"Total";"1";"Total";"23"
"2914307";"Iramaia (BA)";"Total";"1";"Total";"45"
"2914406";"Iraquara (BA)";"Total";"1";"Total";"39"
"2914505";"Irará (BA)";"Total";"1";"Total";"71"
"2914604";"Irecê (BA)";"Total";"1";"Total";"133"
"2914653";"Itabela (BA)";"Total";"1";"Total";"142"
"2914703";"Itaberaba (BA)";"Total";"1";"Total";"87"
"2914802";"Itabuna (BA)";"Total";"1";"Total";"17"
"2914901";"Itacaré (BA)";"Total";"1";"Total";"16"
"2915007";"Itaeté (BA)";"Total";"1";"Total";"34"
"2915106";"Itagi (BA)";"Total";"1";"Total";"5"
"2915205";"Itagibá (BA)";"Total";"1";"Total";"51"
"2915304";"Itagimirim (BA)";"Total";"1";"Total";"28"
"2915353";"Itaguaçu da Bahia (BA)";"Total";"1";"Total";"64"
"2915403";"Itaju do Colônia (BA)";"Total";"1";"Total";"55"
"2915502";"Itajuípe (BA)";"Total";"1";"Total";"11"
"2915601";"Itamaraju (BA)";"Total";"1";"Total";"183"
"2915700";"Itamari (BA)";"Total";"1";"Total";"2"
"2915809";"Itambé (BA)";"Total";"1";"Total";"94"
"2915908";"Itanagra (BA)";"Total";"1";"Total";"25"
"2916005";"Itanhém (BA)";"Total";"1";"Total";"21"
"2916104";"Itaparica (BA)";"Total";"1";"Total";"1"
"2916203";"Itapé (BA)";"Total";"1";"Total";"22"
"2916302";"Itapebi (BA)";"Total";"1";"Total";"26"
"2916401";"Itapetinga (BA)";"Total";"1";"Total";"96"
"2916500";"Itapicuru (BA)";"Total";"1";"Total";"196"
"2916609";"Itapitanga (BA)";"Total";"1";"Total";"12"
"2916708";"Itaquara (BA)";"Total";"1";"Total";"39"
"2916807";"Itarantim (BA)";"Total";"1";"Total";"160"
"2916856";"Itatim (BA)";"Total";"1";"Total";"13"
"2916906";"Itiruçu (BA)";"Total";"1";"Total";"53"
"2917003";"Itiúba (BA)";"Total";"1";"Total";"31"
"2917102";"Itororó (BA)";"Total";"1";"Total";"12"
"2917201";"Ituaçu (BA)";"Total";"1";"Total";"32"
"2917300";"Ituberá (BA)";"Total";"1";"Total";"18"
"2917334";"Iuiu (BA)";"Total";"1";"Total";"74"
"2917359";"Jaborandi (BA)";"Total";"1";"Total";"106"
"2917409";"Jacaraci (BA)";"Total";"1";"Total";"40"
"2917508";"Jacobina (BA)";"Total";"1";"Total";"72"
"2917607";"Jaguaquara (BA)";"Total";"1";"Total";"79"
"2917706";"Jaguarari (BA)";"Total";"1";"Total";"13"
"2917805";"Jaguaripe (BA)";"Total";"1";"Total";"128"
"2917904";"Jandaíra (BA)";"Total";"1";"Total";"35"
"2918001";"Jequié (BA)";"Total";"1";"Total";"61"
"2918100";"Jeremoabo (BA)";"Total";"1";"Total";"181"
"2918209";"Jiquiriçá (BA)";"Total";"1";"Total";"8"
"2918308";"Jitaúna (BA)";"Total";"1";"Total";"9"
"2918357";"João Dourado (BA)";"Total";"1";"Total";"166"
"2918407";"Juazeiro (BA)";"Total";"1";"Total";"459"
"2918456";"Jucuruçu (BA)";"Total";"1";"Total";"22"
"2918506";"Jussara (BA)";"Total";"1";"Total";"110"
"2918555";"Jussari (BA)";"Total";"1";"Total";"9"
"2918605";"Jussiape (BA)";"Total";"1";"Total";"56"
"2918704";"Lafaiete Coutinho (BA)";"Total";"1";"Total";"35"
"2918753";"Lagoa Real (BA)";"Total";"1";"Total";"28"
"2918803";"Laje (BA)";"Total";"1";"Total";"130"
"2918902";"Lajedão (BA)";"Total";"1";"Total";"19"
"2919009";"Lajedinho (BA)";"Total";"1";"Total";"21"
"2919058";"Lajedo do Tabocal (BA)";"Total";"1";"Total";"45"
"2919108";"Lamarão (BA)";"Total";"1";"Total";"24"
"2919157";"Lapão (BA)";"Total";"1";"Total";"348"
"2919207";"Lauro de Freitas (BA)";"Total";"1";"Total";"-"
"2919306";"Lençóis (BA)";"Total";"1";"Total";"12"
"2919405";"Licínio de Almeida (BA)";"Total";"1";"Total";"36"
"2919504";"Livramento de Nossa Senhora (BA)";"Total";"1";"Total";"83"
"2919553";"Luís Eduardo Magalhães (BA)";"Total";"1";"Total";"173"
"2919603";"Macajuba (BA)";"Total";"1";"Total";"22"
"2919702";"Macarani (BA)";"Total";"1";"Total";"65"
"2919801";"Macaúbas (BA)";"Total";"1";"Total";"54"
"2919900";"Macururé (BA)";"Total";"1";"Total";"4"
"2919959";"Maetinga (BA)";"Total";"1";"Total";"4"
"2920007";"Maiquinique (BA)";"Total";"1";"Total";"45"
"2920106";"Mairi (BA)";"Total";"1";"Total";"62"
"2920205";"Malhada (BA)";"Total";"1";"Total";"109"
"2920304";"Malhada de Pedras (BA)";"Total";"1";"Total";"22"
"2920403";"Manoel Vitorino (BA)";"Total";"1";"Total";"34"
"2920452";"Mansidão (BA)";"Total";"1";"Total";"17"
"2920502";"Maracás (BA)";"Total";"1";"Total";"96"
"2920601";"Maragogipe (BA)";"Total";"1";"Total";"50"
"2920700";"Maraú (BA)";"Total";"1";"Total";"25"
"2920809";"Marcionílio Souza (BA)";"Total";"1";"Total";"38"
"2920908";"Mascote (BA)";"Total";"1";"Total";"18"
"2921005";"Mata de São João (BA)";"Total";"1";"Total";"42"
"2921054";"Matina (BA)";"Total";"1";"Total";"6"
"2921104";"Medeiros Neto (BA)";"Total";"1";"Total";"71"
"2921203";"Miguel Calmon (BA)";"Total";"1";"Total";"77"
"2921302";"Milagres (BA)";"Total";"1";"Total";"9"
"2921401";"Mirangaba (BA)";"Total";"1";"Total";"22"
"2921450";"Mirante (BA)";"Total";"1";"Total";"19"
"2921500";"Monte Santo (BA)";"Total";"1";"Total";"103"
"2921609";"Morpará (BA)";"Total";"1";"Total";"10"
"2921708";"Morro do Chapéu (BA)";"Total";"1";"Total";"162"
"2921807";"Mortugaba (BA)";"Total";"1";"Total";"30"
"2921906";"Mucugê (BA)";"Total";"1";"Total";"44"
"2922003";"Mucuri (BA)";"Total";"1";"Total";"162"
"2922052";"Mulungu do Morro (BA)";"Total";"1";"Total";"117"
"2922102";"Mundo Novo (BA)";"Total";"1";"Total";"89"
"2922201";"Muniz Ferreira (BA)";"Total";"1";"Total";"11"
"2922250";"Muquém do São Francisco (BA)";"Total";"1";"Total";"98"
"2922300";"Muritiba (BA)";"Total";"1";"Total";"39"
"2922409";"Mutuípe (BA)";"Total";"1";"Total";"6"
"2922508";"Nazaré (BA)";"Total";"1";"Total";"20"
"2922607";"Nilo Peçanha (BA)";"Total";"1";"Total";"8"
"2922656";"Nordestina (BA)";"Total";"1";"Total";"12"
"2922706";"Nova Canaã (BA)";"Total";"1";"Total";"35"
"2922730";"Nova Fátima (BA)";"Total";"1";"Total";"9"
"2922755";"Nova Ibiá (BA)";"Total";"1";"Total";"8"
"2922805";"Nova Itarana (BA)";"Total";"1";"Total";"17"
"2922854";"Nova Redenção (BA)";"Total";"1";"Total";"25"
"2922904";"Nova Soure (BA)";"Total";"1";"Total";"85"
"2923001";"Nova Viçosa (BA)";"Total";"1";"Total";"116"
"2923035";"Novo Horizonte (BA)";"Total";"1";"Total";"7"
"2923050";"Novo Triunfo (BA)";"Total";"1";"Total";"19"
"2923100";"Olindina (BA)";"Total";"1";"Total";"58"
"2923209";"Oliveira dos Brejinhos (BA)";"Total";"1";"Total";"73"
"2923308";"Ouriçangas (BA)";"Total";"1";"Total";"16"
"2923357";"Ourolândia (BA)";"Total";"1";"Total";"62"
"2923407";"Palmas de Monte Alto (BA)";"Total";"1";"Total";"90"
"2923506";"Palmeiras (BA)";"Total";"1";"Total";"5"
"2923605";"Paramirim (BA)";"Total";"1";"Total";"35"
"2923704";"Paratinga (BA)";"Total";"1";"Total";"21"
"2923803";"Paripiranga (BA)";"Total";"1";"Total";"504"
"2923902";"Pau Brasil (BA)";"Total";"1";"Total";"7"
"2924009";"Paulo Afonso (BA)";"Total";"1";"Total";"45"
"2924058";"Pé de Serra (BA)";"Total";"1";"Total";"19"
"2924108";"Pedrão (BA)";"Total";"1";"Total";"13"
"2924207";"Pedro Alexandre (BA)";"Total";"1";"Total";"130"
"2924306";"Piatã (BA)";"Total";"1";"Total";"23"
"2924405";"Pilão Arcado (BA)";"Total";"1";"Total";"8"
"2924504";"Pindaí (BA)";"Total";"1";"Total";"34"
"2924603";"Pindobaçu (BA)";"Total";"1";"Total";"34"
"2924652";"Pintadas (BA)";"Total";"1";"Total";"28"
"2924678";"Piraí do Norte (BA)";"Total";"1";"Total";"4"
"2924702";"Piripá (BA)";"Total";"1";"Total";"13"
"2924801";"Piritiba (BA)";"Total";"1";"Total";"57"
"2924900";"Planaltino (BA)";"Total";"1";"Total";"27"
"2925006";"Planalto (BA)";"Total";"1";"Total";"87"
"2925105";"Poções (BA)";"Total";"1";"Total";"56"
"2925204";"Pojuca (BA)";"Total";"1";"Total";"16"
"2925253";"Ponto Novo (BA)";"Total";"1";"Total";"35"
"2925303";"Porto Seguro (BA)";"Total";"1";"Total";"280"
"2925402";"Potiraguá (BA)";"Total";"1";"Total";"59"
"2925501";"Prado (BA)";"Total";"1";"Total";"212"
"2925600";"Presidente Dutra (BA)";"Total";"1";"Total";"79"
"2925709";"Presidente Jânio Quadros (BA)";"Total";"1";"Total";"11"
"2925758";"Presidente Tancredo Neves (BA)";"Total";"1";"Total";"63"
"2925808";"Queimadas (BA)";"Total";"1";"Total";"71"
"2925907";"Quijingue (BA)";"Total";"1";"Total";"119"
"2925931";"Quixabeira (BA)";"Total";"1";"Total";"5"
"2925956";"Rafael Jambeiro (BA)";"Total";"1";"Total";"42"
"2926004";"Remanso (BA)";"Total";"1";"Total";"20"
"2926103";"Retirolândia (BA)";"Total";"1";"Total";"1"
"2926202";"Riachão das Neves (BA)";"Total";"1";"Total";"186"
"2926301";"Riachão do Jacuípe (BA)";"Total";"1";"Total";"39"
"2926400";"Riacho de Santana (BA)";"Total";"1";"Total";"61"
"2926509";"Ribeira do Amparo (BA)";"Total";"1";"Total";"59"
"2926608";"Ribeira do Pombal (BA)";"Total";"1";"Total";"120"
"2926657";"Ribeirão do Largo (BA)";"Total";"1";"Total";"83"
"2926707";"Rio de Contas (BA)";"Total";"1";"Total";"24"
"2926806";"Rio do Antônio (BA)";"Total";"1";"Total";"8"
"2926905";"Rio do Pires (BA)";"Total";"1";"Total";"6"
"2927002";"Rio Real (BA)";"Total";"1";"Total";"301"
"2927101";"Rodelas (BA)";"Total";"1";"Total";"32"
"2927200";"Ruy Barbosa (BA)";"Total";"1";"Total";"52"
"2927309";"Salinas da Margarida (BA)";"Total";"1";"Total";"2"
"2927408";"Salvador (BA)";"Total";"1";"Total";"1"
"2927507";"Santa Bárbara (BA)";"Total";"1";"Total";"12"
"2927606";"Santa Brígida (BA)";"Total";"1";"Total";"38"
"2927705";"Santa Cruz Cabrália (BA)";"Total";"1";"Total";"123"
"2927804";"Santa Cruz da Vitória (BA)";"Total";"1";"Total";"19"
"2927903";"Santa Inês (BA)";"Total";"1";"Total";"7"
"2928000";"Santaluz (BA)";"Total";"1";"Total";"48"
"2928059";"Santa Luzia (BA)";"Total";"1";"Total";"39"
"2928109";"Santa Maria da Vitória (BA)";"Total";"1";"Total";"50"
"2928208";"Santana (BA)";"Total";"1";"Total";"71"
"2928307";"Santanópolis (BA)";"Total";"1";"Total";"26"
"2928406";"Santa Rita de Cássia (BA)";"Total";"1";"Total";"154"
"2928505";"Santa Terezinha (BA)";"Total";"1";"Total";"29"
"2928604";"Santo Amaro (BA)";"Total";"1";"Total";"38"
"2928703";"Santo Antônio de Jesus (BA)";"Total";"1";"Total";"66"
"2928802";"Santo Estêvão (BA)";"Total";"1";"Total";"16"
"2928901";"São Desidério (BA)";"Total";"1";"Total";"305"
"2928950";"São Domingos (BA)";"Total";"1";"Total";"12"
"2929008";"São Félix (BA)";"Total";"1";"Total";"10"
"2929057";"São Félix do Coribe (BA)";"Total";"1";"Total";"66"
"2929107";"São Felipe (BA)";"Total";"1";"Total";"57"
"2929206";"São Francisco do Conde (BA)";"Total";"1";"Total";"10"
"2929255";"São Gabriel (BA)";"Total";"1";"Total";"169"
"2929305";"São Gonçalo dos Campos (BA)";"Total";"1";"Total";"43"
"2929354";"São José da Vitória (BA)";"Total";"1";"Total";"3"
"2929370";"São José do Jacuípe (BA)";"Total";"1";"Total";"18"
"2929404";"São Miguel das Matas (BA)";"Total";"1";"Total";"65"
"2929503";"São Sebastião do Passé (BA)";"Total";"1";"Total";"41"
"2929602";"Sapeaçu (BA)";"Total";"1";"Total";"40"
"2929701";"Sátiro Dias (BA)";"Total";"1";"Total";"80"
"2929750";"Saubara (BA)";"Total";"1";"Total";"-"
"2929800";"Saúde (BA)";"Total";"1";"Total";"23"
"2929909";"Seabra (BA)";"Total";"1";"Total";"22"
"2930006";"Sebastião Laranjeiras (BA)";"Total";"1";"Total";"101"
"2930105";"Senhor do Bonfim (BA)";"Total";"1";"Total";"38"
"2930154";"Serra do Ramalho (BA)";"Total";"1";"Total";"47"
"2930204";"Sento Sé (BA)";"Total";"1";"Total";"51"
"2930303";"Serra Dourada (BA)";"Total";"1";"Total";"27"
"2930402";"Serra Preta (BA)";"Total";"1";"Total";"16"
"2930501";"Serrinha (BA)";"Total";"1";"Total";"69"
"2930600";"Serrolândia (BA)";"Total";"1";"Total";"10"
"2930709";"Simões Filho (BA)";"Total";"1";"Total";"5"
"2930758";"Sítio do Mato (BA)";"Total";"1";"Total";"16"
"2930766";"Sítio do Quinto (BA)";"Total";"1";"Total";"160"
"2930774";"Sobradinho (BA)";"Total";"1";"Total";"30"
"2930808";"Souto Soares (BA)";"Total";"1";"Total";"78"
"2930907";"Tabocas do Brejo Velho (BA)";"Total";"1";"Total";"12"
"2931004";"Tanhaçu (BA)";"Total";"1";"Total";"37"
"2931053";"Tanque Novo (BA)";"Total";"1";"Total";"2"
"2931103";"Tanquinho (BA)";"Total";"1";"Total";"10"
"2931202";"Taperoá (BA)";"Total";"1";"Total";"24"
"2931301";"Tapiramutá (BA)";"Total";"1";"Total";"63"
"2931350";"Teixeira de Freitas (BA)";"Total";"1";"Total";"117"
"2931400";"Teodoro Sampaio (BA)";"Total";"1";"Total";"11"
"2931509";"Teofilândia (BA)";"Total";"1";"Total";"36"
"2931608";"Teolândia (BA)";"Total";"1";"Total";"9"
"2931707";"Terra Nova (BA)";"Total";"1";"Total";"13"
"2931806";"Tremedal (BA)";"Total";"1";"Total";"28"
"2931905";"Tucano (BA)";"Total";"1";"Total";"301"
"2932002";"Uauá (BA)";"Total";"1";"Total";"13"
"2932101";"Ubaíra (BA)";"Total";"1";"Total";"36"
"2932200";"Ubaitaba (BA)";"Total";"1";"Total";"4"
"2932309";"Ubatã (BA)";"Total";"1";"Total";"5"
"2932408";"Uibaí (BA)";"Total";"1";"Total";"74"
"2932457";"Umburanas (BA)";"Total";"1";"Total";"32"
"2932507";"Una (BA)";"Total";"1";"Total";"85"
"2932606";"Urandi (BA)";"Total";"1";"Total";"32"
"2932705";"Uruçuca (BA)";"Total";"1";"Total";"21"
"2932804";"Utinga (BA)";"Total";"1";"Total";"35"
"2932903";"Valença (BA)";"Total";"1";"Total";"147"
"2933000";"Valente (BA)";"Total";"1";"Total";"16"
"2933059";"Várzea da Roça (BA)";"Total";"1";"Total";"25"
"2933109";"Várzea do Poço (BA)";"Total";"1";"Total";"12"
"2933158";"Várzea Nova (BA)";"Total";"1";"Total";"78"
"2933174";"Varzedo (BA)";"Total";"1";"Total";"34"
"2933208";"Vera Cruz (BA)";"Total";"1";"Total";"4"
"2933257";"Vereda (BA)";"Total";"1";"Total";"25"
"2933307";"Vitória da Conquista (BA)";"Total";"1";"Total";"361"
"2933406";"Wagner (BA)";"Total";"1";"Total";"30"
"2933455";"Wanderley (BA)";"Total";"1";"Total";"87"
"2933505";"Wenceslau Guimarães (BA)";"Total";"1";"Total";"20"
"2933604";"Xique-Xique (BA)";"Total";"1";"Total";"28"
"3100104";"Abadia dos Dourados (MG)";"Total";"1";"Total";"152"
"3100203";"Abaeté (MG)";"Total";"1";"Total";"374"
"3100302";"Abre Campo (MG)";"Total";"1";"Total";"51"
"3100401";"Acaiaca (MG)";"Total";"1";"Total";"7"
"3100500";"Açucena (MG)";"Total";"1";"Total";"19"
"3100609";"Água Boa (MG)";"Total";"1";"Total";"114"
"3100708";"Água Comprida (MG)";"Total";"1";"Total";"73"
"3100807";"Aguanil (MG)";"Total";"1";"Total";"82"
"3100906";"Águas Formosas (MG)";"Total";"1";"Total";"9"
"3101003";"Águas Vermelhas (MG)";"Total";"1";"Total";"50"
